Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,16/10/2014,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001430231,"101,172.53"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/10/2014,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001430232,"60,684.54"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/10/2014,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001430233,"112,996.67"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Benson Viscometers,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,870.80
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,"1,506.49"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Oxoid,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,725.74
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,ProLab,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,"5,620.05"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,"2,678.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,"1,355.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,640.00
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,"22,450.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/10/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001430378,457.60
