Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Prepymnts <1Yr-Non-NHS PeriodEndAccrual,Balance Sheet,ISLE OF WIGHT COUNCIL,20736935,"1,557,437.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,COLVILLE CARE LTD,20737305,"27,742.43"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,TICCS,20737315,"51,535.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,20756470,"37,333.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,20756488,"11,056,167.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,ISLE OF WIGHT NHS TRUST,20756492,"81,739.25"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,20756494,"381,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,20773189,"290,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20773206,"5,610.90"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20773206,"491,581.10"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20773223,"-308,820.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,OUT OF HOURS,ISLE OF WIGHT NHS TRUST,20773250,"125,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Oth Pybls <1Yr-Other,BALANCE SHEET,MILLBROOK HEALTHCARE LTD,20773275,"60,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,"70,055.23"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,"5,693.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS LES Minor Surgery,LOCAL ENHANCED SERVICES,MEDINA HEALTHCARE,20787756,650
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,118.12
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,"2,551.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,"1,724.02"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,20787756,"8,642.11"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,20787758,"88,113.74"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,20787758,"3,780.58"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS LES Minor Surgery,LOCAL ENHANCED SERVICES,TOWER HOUSE SURGERY RYDE,20787758,900
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,20787758,5.95
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,20787758,"9,298.12"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,20791610,"36,011.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,20791622,"98,709.61"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Drugs,HIGH COST DRUGS,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,20907402,8
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,20907402,"33,235.17"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Non Contract,PATIENT TRANSPORT,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,20907402,1
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,RYDE HOUSE HOMES LTD,20907436,"25,868.88"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Basic Sal-Senior Manager band 8A,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,20907470,"41,023.70"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,20907475,"843,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,ISLE OF WIGHT COUNCIL,20907480,443.3
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ISLE OF WIGHT COUNCIL,20907480,"21,935.91"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,ISLE OF WIGHT COUNCIL,20907480,"27,931.70"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OLDER PEOPLE,ISLE OF WIGHT COUNCIL,20907480,"13,545.15"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Learning Disab(<65),ADULT JOINT FUNDED CONTINUING CARE,ISLE OF WIGHT COUNCIL,20907480,"3,901.66"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ISLE OF WIGHT COUNCIL,20907480,"9,745.47"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ISLE OF WIGHT COUNCIL,20907480,30.63
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Income tax <1Yr,BALANCE SHEET,HMRC,20935223,"39,918.88"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,20935223,287
Department of Health,NHS Isle Of Wight CCG,28/02/2018,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,20935223,"29,621.02"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,20935223,"21,145.19"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,20956886,666.67
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,20956886,"36,359.61"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,20956886,"3,845.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,20956886,"3,066.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,20956886,"4,068.08"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,458.33
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,"39,669.74"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,272
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,"1,916.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,854.33
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,221.43
