Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,LIVERPOOL PCT,23-Apr-10,HEALTHCARE - PCTS,BLOCK CONTRACTS,5NL LIVERPOOL PCT,SLH/M01/TREASURY/BLOCKCON Treasury GBP,6692814
Department of Health,LIVERPOOL PCT,21-Apr-10,HEALTHCARE - PCTS,SPECIALIST COMMISSIONING,5NN WESTERN CHESHIRE PCT,SLH/M01/TREASURY/NWSPECCOMMAPR10,7800000
Department of Health,LIVERPOOL PCT,07-Apr-10,RENT,ESTATES,AEL FUNDCO LTD,155477,17651.94
Department of Health,LIVERPOOL PCT,07-Apr-10,PREPAYMENTS < ONE YEAR,PREPAYMENTS,AEL FUNDCO LTD,155477,37977.26
Department of Health,LIVERPOOL PCT,19-Apr-10,RENT,ESTATES,AEL FUNDCO LTD,156705,45028.8
Department of Health,LIVERPOOL PCT,19-Apr-10,RENT,ESTATES,AEL FUNDCO LTD,156706,33583.75
Department of Health,LIVERPOOL PCT,19-Apr-10,RENT,ESTATES,AEL FUNDCO LTD,156707,36764.01
Department of Health,LIVERPOOL PCT,04-May-10,GLOBAL SUM,NGMS CONTRACTOR PAYMENTS,AINTREE PK PRACTICE-HUBBRT,5NL EK COM APR 10 Reconciled Payments GBP,66544.33
Department of Health,LIVERPOOL PCT,15-Apr-10,FOUNDATION TRUSTS INCOME,INTERPRETATION FEES - RNID,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20185,26132
Department of Health,LIVERPOOL PCT,04-May-10,PCAPS - PMS CONTRACT,PMS,ALLEN,5NL EK COM APR 10 Reconciled Payments GBP,65642.92
Department of Health,LIVERPOOL PCT,30-Apr-10,AUDIT FEES : STATUTORY,COMMISSIONING AND CORPORATE FINANCE,AUDIT COMMISSION,157875,25658.48
Department of Health,LIVERPOOL PCT,04-May-10,GLOBAL SUM,NGMS CONTRACTOR PAYMENTS,BATESON,5NL EK COM APR 10 Reconciled Payments GBP,43125.42
