Spend over £25k - August 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description ,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,19/08/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,820388,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,24/08/2016,Travel,Finance and Resources,Redfern Travel Ltd,820417,"£334,353.45",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,23/08/2016,Managed Services,Information Services,CGI IT UK Ltd,820397,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,24/08/2016,ICT Systems,Information Services,CACI Ltd,820414,"£89,880.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,24/08/2016,ICT Systems,Information Services,CACI Ltd,820419,"£75,708.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,23/08/2016,Managed Services,Information Services,CGI IT UK Ltd,820400,"£71,795.86",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,01/08/2016,Corporate Transactions,Finance and Resources,Royal Bank of Scotland,102,"£41,307.99",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,01/08/2016,Corporate Contracts,Finance and Resources,Enterprise Rent-a-Car,820202,"£35,811.28",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,01/08/2016,Managed Services,Inspection Data & Insight,RM Education,820184,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,08/08/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820271,"£31,460.47",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,03/08/2016,Travel,Corporate Transactions,Calder Conferences Ltd,820228,"£30,797.70",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,01/08/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820200,"£30,562.54",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,30/08/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820448,"£29,254.71",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,12/08/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820330,"£26,524.19",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,19/08/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820377,"£26,138.37",Contingent Labour,AL1 4ZX,Admin Class
