No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion McALEENAN,Stage 2 - Total,Stage 3 - Transfer CLELAND,Stage 3 - Total,Stage 4 - Exclusion CUMMINGS,Stage 4 - Total,Stage 5 - Transfer TWYBLE,Stage 5 - Total,Stage 6 - Transfer SMITH,Stage 6 - Total,Stage 7 - Exclusion LARKHAM,Stage 7 - Total,Stage 8 - Exclusion CORR,Stage 8 - Total,Stage 9 - Exclusion FLAHERTY,Stage 9 - Total
1,CLELAND,John,Alliance Party,Excluded - Stage 2,397.00,4.00,401.00,-401.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,CORR,Kieran Peter,Independent,Excluded - Stage 7,490.00,4.00,494.00,48.00,542.00,3.00,545.00,1.76,546.76,0.22,546.98,50.00,596.98,-596.98,0.00,0.00,0.00
3,CUMMINGS,Brian,Progressive Unionist Party of Northern Ireland,Excluded - Stage 3,411.00,0.00,411.00,13.00,424.00,-424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,FLAHERTY,Julie,Ulster Unionist Party,Excluded - Stage 8,445.00,0.00,445.00,31.00,476.00,157.00,633.00,26.40,659.40,2.31,661.71,5.76,667.47,27.11,694.58,-694.58,0.00
5,LARKHAM,Thomas Patrick,SDLP (Social Democratic & Labour Party),Excluded - Stage 6,439.00,12.00,451.00,86.00,537.00,2.00,539.00,5.28,544.28,0.00,544.28,-544.28,0.00,0.00,0.00,0.00,0.00
6,LENNON,Fergal Thomas,Sinn Féin,Elected - Stage 9,910.00,113.00,1023.00,21.00,1044.00,5.00,1049.00,0.88,1049.88,0.00,1049.88,62.00,1111.88,125.00,1236.88,2.00,1238.88
7,McALEENAN,Vincent J E,Sinn Féin,Excluded - Stage 1,213.00,-213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,McALINDEN,Declan,SDLP (Social Democratic & Labour Party),Elected - Stage 8,841.00,17.00,858.00,35.00,893.00,3.00,896.00,0.88,896.88,0.00,896.88,350.64,1247.52,169.00,1416.52,0.00,1416.52
9,O'CONNOR,Tommy,Sinn Féin,Excluded - Stage 9,782.00,55.00,837.00,7.00,844.00,0.00,844.00,0.00,844.00,0.00,844.00,37.00,881.00,110.00,991.00,4.00,995.00
10,SMITH,Robert Woolsey,Democratic Unionist Party - D.U.P.,Elected - Stage 4,1250.00,0.00,1250.00,15.00,1265.00,165.00,1430.00,0.00,1430.00,-18.00,1412.00,0.00,1412.00,0.00,1412.00,0.00,1412.00
11,TINSLEY,Margaret,Democratic Unionist Party - D.U.P.,Elected - Stage 9,899.00,0.00,899.00,13.00,912.00,52.00,964.00,3.52,967.52,14.08,981.60,2.00,983.60,16.11,999.71,304.00,1303.71
12,TWYBLE,James Kenneth,Ulster Unionist Party,Elected - Stage 4,1389.00,0.00,1389.00,62.00,1451.00,0.00,1451.00,-39.00,1412.00,0.00,1412.00,0.00,1412.00,0.00,1412.00,0.00,1412.00
Non transferable,,,,,,8.00,8.00,70.00,78.00,37.00,115.00,0.28,115.28,1.39,116.67,36.88,153.55,149.76,303.31,384.58,687.89
Totals,,,,,8466.00,,8466.00,,8466.00,,8466.00,,8466.00,,8466.00,,8466.00,,8466.00,,8466.00
