Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/07/2011,ENGIN AND MAINT EXT CONTRACTS,DIRECTOR OF FACILITIES MANAGEMENT,APOLLO LIFTS LTD,"37,277.10",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,BUREAU SOFT/W,DIRECTOR OF NURSING & PATIENT SERVICES,ASCRIBE LTD,"53,819.00",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,COMPUTER MAINTENANCE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"12,826.56",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/07/2011,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"78,145.19",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"55,641.30",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,ENGIN SERVICES,CAPITAL PROGRAM,CHS BUILDING SERVICE,"34,874.87",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,STRUCTURE,CAPITAL PROGRAM,CLS DEMOLITION LTD,"46,759.64",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"53,946.91",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"79,715.38",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"26,154.12",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"25,933.13",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"74,731.25",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"43,594.58",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/07/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"72,877.10",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"89,732.50",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"28,600.00",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"66,202.32",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"30,988.32",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"160,875.00",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/07/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"76,766.52",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/07/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"43,392.00",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/07/2011,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"32,218.82",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"41,314.00",Jul-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/07/2011,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES,LINCOLNSHIRE PARTNERSHIP NHS TRUST,859.25,Jul-11
