Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,The mall and shops,Buildings repairs and maintenance,06-Mar-2013,200014593,Bill Caulfield Electrical,"6,494.78"
Barrow Borough Council,Crematorium,Grounds maintenance,14-Mar-2013,200014668,Continental Landscapes Ltd,"1,352.78"
Barrow Borough Council,Allotments,Property rents,14-Mar-2013,200014705,Holker Estates Company Ltd,"1,705.00"
Barrow Borough Council,Group Repair Central Area E,Building and construction works,25-Mar-2013,200014901,Thomas Armstrong Construction Ltd,"50,043.25"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,14-Mar-2013,200014654,AB Mitchell Developments,"7,340.81"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,14-Mar-2013,200014654,AB Mitchell Developments,"7,708.72"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,25-Mar-2013,200014851,Continental Landscapes Ltd,"24,717.08"
Barrow Borough Council,Planning,Conservation area partnership,25-Mar-2013,200014899,Pickerings Scaffolding Ltd,725.00
Barrow Borough Council,Emlyn Hughes house,Electricity,25-Mar-2013,200014930,NPower,916.76
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,14-Mar-2013,200014646,Redacted Information,"1,680.00"
Barrow Borough Council,Rawlinson Street Corridor,Grants,14-Mar-2013,200014728,S Mason & Sons,"1,975.80"
Barrow Borough Council,Disabled Facilities Grant,Grants,14-Mar-2013,200014650,Benchmark Building Serv UK Ltd,"2,880.00"
Barrow Borough Council,IT Equipment & Development,Professional fees,06-Mar-2013,200014558,Cetus Solutions Ltd,931.25
Barrow Borough Council,Kennels,Electricity,06-Mar-2013,200014602,NPower,670.35
Barrow Borough Council,Dock museum,Electricity,06-Mar-2013,200014602,NPower,"1,118.86"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,25-Mar-2013,200014878,Plumbing Trade Supplies,"1,103.35"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,14-Mar-2013,200014654,AB Mitchell Developments,"1,359.00"
Barrow Borough Council,Marina Village,Specialised work,06-Mar-2013,200014589,Schofield Construction Ltd,704.00
Barrow Borough Council,Dock Museum,Building and construction works,06-Mar-2013,200014555,L&W Wilson Ltd,"34,562.84"
Barrow Borough Council,Marina Village,Insurance,20-Mar-2013,200014837,Jardine Lloyd Thompson,"26,335.70"
Barrow Borough Council,Recycling,Recycling collection and processing,20-Mar-2013,200014800,Biffa Waste Services Ltd,"4,178.25"
Barrow Borough Council,Forum 28,Equipment purchase,25-Mar-2013,200014909,Home Images,685.00
Barrow Borough Council,Borough Treasurer's,Professional fees,20-Mar-2013,200014788,Selima Software Ltd,777.50
Barrow Borough Council,Forge Close,Buildings repairs and maintenance,20-Mar-2013,200014816,Ward Glass Ltd,505.23
Barrow Borough Council,Recycling,Recycling collection and processing,20-Mar-2013,200014800,Biffa Waste Services Ltd,"65,690.27"
Barrow Borough Council,The markets,Gas,14-Mar-2013,200014653,British Gas Business,956.01
Barrow Borough Council,Neighbourhood Management Team,Other expenses,20-Mar-2013,200014791,Cumbria CVS Eden,"1,000.00"
Barrow Borough Council,Woodbridge Haven Industrial Estate,Electricity,25-Mar-2013,200014930,NPower,-796.05
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,14-Mar-2013,200014654,AB Mitchell Developments,748.05
Barrow Borough Council,Customer services,Customer services contract,14-Mar-2013,200014672,Liberata Uk Ltd,"10,640.00"
Barrow Borough Council,Kennels,Electricity,06-Mar-2013,200014602,NPower,866.05
Barrow Borough Council,Disabled Facilities Grant,Grants,06-Mar-2013,200014601,AJK Construction,"2,250.00"
Barrow Borough Council,Forum 28,Equipment purchase,25-Mar-2013,200014938,Ningbo Manufacturing,"1,057.70"
