Department ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name, Component Code, Amount, Invoice Description
DFID,DFID,06/10/2014,Taxi costs ,Business Solutions Division Level ,d&m taxis ,200001-101 ,£610.00,
DFID,DFID,01/10/2014,FCO shared service charges ,Business Solutions Division Level ,FCO SERVICES ,200001-101 ,£807.08,
DFID,DFID,13/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£384,073.85",
DFID,DFID,01/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£113,743.00",
DFID,DFID,13/10/2014,Fund monies to be managed and dispersed by the supplier ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£1,800,901.00",
DFID,DFID,13/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£66,997.00",
DFID,DFID,13/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£71,232.00",
DFID,DFID,13/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202657-102 ,"£28,713.00",
DFID,DFID,23/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,HEALTH PARTNERS INTERNATIONAL ,200250-115 ,"£246,875.00",
DFID,DFID,16/10/2014,Hostile Environment Training ,Middle East  Humanitarian & Security Division ,Pilgrims Group ,204084-101 ,£675.13,
DFID,DFID,08/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,PICKFORDS LTD ,203035-102 ,"£2,556.33",
DFID,DFID,13/10/2014,Aid Programme - Core contributions ,Research and Evidence Division ,INTERNATIONAL DEVELOPMENT RESEARCH CENTRE ,204168-101 ,"£689,497.00",
DFID,DFID,28/10/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,101625-102 ,"£25,484.07",Secure staff accommodation costs  for 12 months rental period for  November 2014 to  October 2015 
DFID,DFID,14/10/2014,Aid Programme - Other Financial Aid to Government ,Asia  Caribbean and Overseas Territories ,St Helena Department of Finance ,204337-101 ,"£617,748.00",
DFID,DFID,22/10/2014,Facilities Management payments ,Group Operations ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£12,794.04",
DFID,DFID,08/10/2014,Electricity ,Group Operations ,EDF ENERGY ,100106-101 ,"£14,239.57",
DFID,DFID,22/10/2014,Cleaning Costs ,Group Operations ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£12,518.18",
DFID,DFID,22/10/2014,Facilities Management payments ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,"£20,878.62",
DFID,DFID,22/10/2014,Cleaning Costs ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,"£15,698.00",
DFID,DFID,22/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,"£8,589.86",
DFID,DFID,16/10/2014,Oil - Other Utilities ,Group Operations ,Government Procurement Service ,203717-101 ,"£8,844.16",
DFID,DFID,16/10/2014,Oil - Other Utilities ,Group Operations ,Government Procurement Service ,203717-101 ,"£10,226.95",
DFID,DFID,02/10/2014,Property rates ,Group Operations ,CITY OF WESTMINSTER ,203717-101 ,"£124,496.00",Quarterly rental costs for DFID HQ Premises in  London - 3rd quarter  payment
DFID,DFID,22/10/2014,Project delivery costs â€“ supplier services ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,£660.23,
DFID,DFID,20/10/2014,Hotels - Accommodation only ,East and Central Africa ,Rockview Hotel ,101625-104 ,£591.79,
DFID,DFID,02/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,KPMG EAST AFRICA LTD ,201866-109 ,"£40,472.86",
DFID,DFID,13/10/2014,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101625-106 ,"£7,421.15",
DFID,DFID,14/10/2014,Air fares ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,101625-102 ,£757.58,
DFID,DFID,14/10/2014,Air fares ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,101625-102 ,£807.05,
DFID,DFID,06/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101625-106 ,£866.79,
DFID,DFID,02/10/2014,Storage & Distribution costs ,International Relations Division ,PICKFORDS LTD ,100086-101 ,"£1,074.00",
DFID,DFID,07/10/2014,Facilities Management payments ,International Relations Division ,Electrical Techniques Limited ,202319-101 ,"£1,132.48",
DFID,DFID,23/10/2014,Secure Staff Accommodation ,International Relations Division ,Recipient name withheld ,202319-101 ,"£1,987.65",
DFID,DFID,03/10/2014,Other rentals ,International Relations Division ,Recipient name withheld ,202319-101 ,£802.70,
DFID,DFID,29/10/2014,Vehicle Hire Charges ,International Relations Division ,Recipient name withheld ,202319-101 ,£619.71,
DFID,DFID,08/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,International Relations Division ,Nambwa Construction Ltd ,202319-101 ,"£1,983.34",
DFID,DFID,01/10/2014,Furniture & Fittings ,International Relations Division ,Recipient name withheld ,202319-101 ,£700.83,
DFID,DFID,01/10/2014,Secure Staff Accommodation ,International Relations Division ,Recipient name withheld ,202319-101 ,"£2,821.07",
DFID,DFID,25/10/2014,Furniture & Fittings ,International Relations Division ,Recipient name withheld ,202319-101 ,£701.63,
DFID,DFID,25/10/2014,Secure Staff Accommodation ,International Relations Division ,Recipient name withheld ,202319-101 ,"£2,817.18",
DFID,DFID,30/10/2014,Aid Programme - Other Financial Aid to Government ,East and Central Africa ,Ministry of Finance and Economic Development -Ethiopia ,202597-102 ,"£2,800,000.00",
DFID,DFID,13/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,ADAM SMITH INTERNATIONAL  LTD ,114234-102 ,"£214,688.00",
DFID,DFID,01/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,ADAM SMITH INTERNATIONAL  LTD ,201367-103 ,"£272,281.30",
DFID,DFID,22/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,TURNER & TOWNSEND ,202433-108 ,"£150,482.50",
DFID,DFID,29/10/2014,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,International Centre for Integrated Mountain Development ,202775-102 ,"£382,339.27",
DFID,DFID,28/10/2014,Hotels - Accommodation only ,West and Southern Africa ,Capital Hotel ,203824-101 ,£544.79,
DFID,DFID,29/10/2014,Hotels - Accommodation only ,West and Southern Africa ,Capital Hotel ,203824-101 ,£544.79,
DFID,DFID,23/10/2014,Project delivery costs â€“ supplier services ,Western Asia Division ,ADAM SMITH INTERNATIONAL  LTD ,203508-102 ,"£60,788.00",
DFID,DFID,06/10/2014,Aid Programme - Voluntary contributions ,Policy Division ,ORGANISATION FOR ECONOMIC CO-OP & DE ,203295-101 ,"£100,000.00",
DFID,DFID,06/10/2014,Aid Programme - Voluntary contributions ,Policy Division ,ORGANISATION FOR ECONOMIC CO-OP & DE ,203295-101 ,"£100,000.00",
DFID,DFID,30/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,PRICEWATERHOUSECOOPERS ,202372-102 ,"£653,610.00",
DFID,DFID,02/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,PRICEWATERHOUSECOOPERS ,202372-102 ,"£880,279.20",
DFID,DFID,30/10/2014,Hostile Environment Training ,Internal Audit ,Pilgrims Group ,100121-101 ,"£1,755.29",
DFID,DFID,08/10/2014,Training - Course Fees ,Internal Audit ,University of Portsmouth Enterprise Limited ,100121-101 ,"£2,000.00",
DFID,DFID,20/10/2014,Hostile Environment Training ,Internal Audit ,Pilgrims Group ,100121-101 ,£900.13,
DFID,DFID,01/10/2014,Research & Development costs ,Research and Evidence Division ,ADAM SMITH INTERNATIONAL  LTD ,203778-104 ,"£184,045.89",
DFID,DFID,03/10/2014,Research & Development costs ,Research and Evidence Division ,University of Johannesburg ,203778-107 ,"£70,453.45",
DFID,DFID,23/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,International Planned Parent ,114146-101 ,"£2,150,000.00",
DFID,DFID,03/10/2014,Aid Programme - Challenge Fund payments ,Policy Division ,Triple Line Crown Agents JV. ,201242-101 ,"£55,418.42",
DFID,DFID,03/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,Triple Line Crown Agents JV. ,201242-101 ,"£31,754.99",
DFID,DFID,22/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,Triple Line Crown Agents JV. ,201242-101 ,"£34,039.90",
DFID,DFID,28/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,WORLD VISION UNITED KINGDOM ,202642-101 ,"£984,441.25",
DFID,DFID,06/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,SIGHT SAVERS INTERNATIONAL ,202546-101 ,"£934,669.50",
DFID,DFID,16/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,COMIC RELIEF ,200645-101 ,"£1,333,761.00",
DFID,DFID,14/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,INTERNATIONAL ALERT ,202687-101 ,"£434,790.00",
DFID,DFID,30/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,COLLABORATIVE LEARNING PROJECTS ,202829-101 ,"£114,038.25",
DFID,DFID,10/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,The Global Alliance for Improved Nutrition ,202780-101 ,"£787,449.00",
DFID,DFID,17/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,TRANSPARENCY INTERNAT ,202505-101 ,"£843,586.00",
DFID,DFID,03/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,ARTICLE 19 ,202556-101 ,"£135,671.75",
DFID,DFID,20/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,ACTION ON DISABILITY AND DE ,202561-101 ,"£283,456.25",
DFID,DFID,03/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,PEOPLE IN AID LTD ,202875-101 ,"£51,699.75",
DFID,DFID,07/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,ETHICAL TRADING INITIATIVE ,202620-101 ,"£100,250.00",
DFID,DFID,07/10/2014,Aid Programme - Strategic Grant Arrangement payments ,Policy Division ,VSO ,202414-102 ,"£5,500,000.00",
DFID,DFID,14/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,Fairtrade Labelling Organizations International e.V. ,201718-101 ,"£750,000.00",
DFID,DFID,07/10/2014,Aid Programme - Partnership Programme Arrangements ,Policy Division ,PRACTICAL ACTION LTD ,202646-101 ,"£722,765.25",
DFID,DFID,20/10/2014,Research & Development costs ,Research and Evidence Division ,Government Actuary's Department ,203604-101 ,"£6,000.00",
DFID,DFID,08/10/2014,Research & Development costs ,Research and Evidence Division ,Social Finance Limited ,203604-101 ,"£207,676.69",
DFID,DFID,30/10/2014,Research & Development costs ,Research and Evidence Division ,Abt Associates ,203052-102 ,"£1,787.76",
DFID,DFID,01/10/2014,Air fares ,Research and Evidence Division ,BCD Travel (USD) ,202392-101 ,£738.40,
DFID,DFID,06/10/2014,Air fares ,Research and Evidence Division ,BCD Travel (USD) ,202392-101 ,"£1,075.95",
DFID,DFID,03/10/2014,Storage & Distribution costs ,Research and Evidence Division ,PICKFORDS LTD ,203874-101 ,"£5,025.71",
DFID,DFID,06/10/2014,Aid Programme - Accountable Grant Payments ,Policy Division ,Action Against Hunger - USA ,202921-111 ,"£167,160.00",
DFID,DFID,21/10/2014,Cleaning Costs ,West and Southern Africa ,Sparklean Services Nig Ltd ,100152-110 ,"£1,074.81",
