CPS outcomes by principal offence category bedfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,63,79.1%,25,20.9%
C Sexual Offences,2,100.0%,5,0.0%
D Burglary,17,84.8%,0,15.2%
E Robbery,11,72.7%,6,27.3%
F Theft And Handling,121,95.0%,8,5.0%
G Fraud And Forgery,14,91.7%,9,8.3%
H Criminal Damage,23,83.9%,1,16.1%
I Drugs Offences,27,95.1%,0,4.9%
J Public Order Offences,40,91.1%,2,8.9%
K All Other Offences (excluding Motoring),12,100.0%,5,0.0%
L Motoring Offences,193,95.4%,8,4.6%
Admin Finalisations,0,0.0%,1,100.0%
TOTAL,523,88.2%,70,11.8%
