Year,Author,Title,citation,Type,Collaborators,Main subject,Subject,Keywords,URL,Notes
,,,,,,,,,,
2009,Abolnik C; LONDT BZ; MANVELL RJ; SHELL W; BANKS J; Gerdes GH; Akol G; BROWN IH,Characterisation of a highly pathogenic influenza A virus of subtype H5N2 isolated from ostriches in South Africa in 2004.,Influenza and Other Respiratory Viruses 3 (2) 63-68,Periodical article,"ARC-Onderstepoort Veterinary Institute, Private Bag x5, Onderstepoort, South Africa. 
Veterinary Services, Department of Agriculture, Private Bag x14, Stutterheim, South Africa.",VIROLOGY,POULTRY AND OTHER BIRDS,Avian influenza,http://www3.interscience.wiley.com/cgi-bin/fulltext/122197835/PDFSTART,
2009,ABUOUN M; Suthers PF; JONES GI; Carter BR; SAUNDERS MP; Maranas CD; WOODWARD MJ; ANJUM MF,Genome scale reconstruction of a salmonella metabolic model: comparison of similarity and differences with a commensal Escherichia coli strain.,Journal of Biological Chemistry 284 (43) 29480-29488.,Periodical article,"Pennsylvania State University, University Park, Pennsylvania, USA. 
South East Wales Trials Unit, School of Medicine, Cardiff University, CF14 4XN.",BACTERIOLOGY,GENERAL,Salmonella,http://www.jbc.org/cgi/doi/10.1074/jbc.M109.005868,
2009,Afshar B; NICHOLAS RAJ; Pitcher D; M.D. Fielder MD; Miles RJ,"Biochemical and genetic variation in Mycoplasma fermentans strains from cell line, human and animal sources.",Journal of Applied Microbiology 107 (2) 498-505,Periodical article,"Division of Life Sciences, King's College London, London. 
Health Protection Agency, Centre for Infections, Respiratory and Systemic Infections Department, London. 
School of Life Science, Kingston University, Kingston Upon Thames, Surrey.",BACTERIOLOGY,GENERAL,Mycoplasma,http://dx.doi.org/10.1111/j.1365-2672.2009.04224.x,
2009,Ahmed J; Bouloy M; Ergonul O; FOOKS AR; Paweska J; Chevalier V; Drosten C; Moormann R; Tordo N; Vatansever Z; Calistri P; Estrada-Pena A; Mirazimi A; Unger H; Yin H; Seitzer U,International network for capacity building for the control of emerging viral vector-borne zoonotic diseases: ARBO-ZOONET.,Eurosurveillance 14 (12):pii=19160,Periodical article,"Veterinary Infection Biology and Immunology, Research Center Borstel, Borstel, Germany. 
Molecular Genetics of Bunyaviruses, Institut Pasteur, Paris, France. 
Marmara University Medical School Hospital, Istanbul, Turkey. 
National Centre for Zoonoses, University of Liverpool. 
Special Pathogen Unit, National Institute for Communicable Diseases of the National Health Laboratory Service, Gauteng, South Africa. 
CIRAD-Département ""Environments & Societies"" UR AGIRs ""Animal and Integrated Risk management"", Montpellier, France. 
Institute of Virology, University of Bonn Medical Centre, Bonn, Germany. 
Division of infectious diseases, Central Veterinary Institute, Animal Sciences Group, Wageningen UR, Lelystad, The Netherlands. 
Biology of viral emerging infections, Institut Pasteur, Paris, France. 
Kafkas University, Faculty of Veterinary Medicine, Dept. of Parasitology, Kars, Turkey. 
Abruzzo and Molise Region Experimental Animal Health Care Institute""G. Caporale"", Teramo, Italy. 
Department of Parasitology, Veterinary Faculty, Universidad de Zaragoza, Zaragoza, Spain. 
Virology Unit, Centre for Microbiological Preparedness, Swedish Institute for Infectious Disease Control, Solna, Sweden. 
Animal Production and Health, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, International Atomic Energy Agency, Vienna, Austria. 
Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Lanzhou, Gansu, China.",VIROLOGY,DISEASES,Rabies,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19160,
2009,Ait-Ali T; Wilson AW; Finlayson H; Carre W; Ramaiahgari SC; WESTCOTT DG; Waterfall M; FROSSARD JP; Baek KH; DREW TW; Bishop SC; Archibald AL,Functional analysis of the porcine USP18 and its role during porcine arterivirus replication.,Gene 439 (1-2) 35-42,Periodical article,"Roslin Institute and Royal (Dick) School of Veterinary Studies, University of Edinburgh, Roslin, Midlothian EH25 9PS.  
Cell and Gene Therapy Research Institute, Pochon CHA University, CHA General Hospital 606-16 Yeoksam, 1-Dong, Kangnam-Gu, Seoul, 135-081, South Korea. 
IIIR, University of Edinburgh, Roslin, Midlothian EH25 9PS.",VIROLOGY,PIGS,Virus diseases,,
2009,AKTAN I; WOODWARD MJ; LA RAGIONE RM,Interaction between attaching-effacing Escherichia coli O26:K60 and O157:H7 in young lambs.,Research in Veterinary Science 87 (1) 13-15,Periodical article,,BACTERIOLOGY,SHEEP,Escherichia coli,http://dx.doi.org/doi:10.1016/j.rvsc.2008.11.006,
2009,ALEXANDER DJ; BROWN IH,History of highly pathogenic avian influenza.,Revue Scientifique et Technique 28 (1) 19-38,Periodical article,,VIROLOGY,POULTRY AND OTHER BIRDS,Influenza; Avian influenza,http://www.oie.int/boutique/extrait/alexander1938.pdf,
2009,ARNOLD ME; COOK AJC,Estimation of sample sizes for pooled faecal sampling for detection of salmonella in pigs.,Epidemiology and Infection 137 (12) 1734-1741,Periodical article,,BACTERIOLOGY,PIGS,Salmonella,http://dx.doi.org/10.1017/S0950268809002702,
2009,ARNOLD ME; HAWKINS SAC; GREEN R; DEXTER I; WELLS GAH,Pathogenesis of experimental bovine spongiform encephalopathy (BSE): estimation of tissue infectivity according to incubation period.,Veterinary Research 40:08,Periodical article,,SPONGIFORM ENCEPHALOPATHIES,CATTLE AND RUMINANTS IN GENERAL,Bovine spongiform encephalopathy,,
