DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,
,,,,,
QUARTERLY INFORMATION 1 OCTOBER – 31 DECEMBER 2011,,,,,
,,,,,
MINISTER OF STATE ALAN DUNCAN,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GIFTS GIVEN OVER £140 ,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To  ,Gift,Value (over £140) ,,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
Nil Return,,,,,
,,,,,
,,,,,
GIFTS RECEIVED OVER £140 ,,,,,
,,,,,
,,,,,
Date gift received,From  ,Gift,Value  ,Outcome,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
18-Oct,"The Cross Border Training Centre, Tajikistan.",Ceremonial Robe,£200,Purchased by the Minister.,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OVERSEAS TRAVEL,,,,,
,,,,,
       ,,,,,
"Rt Hon Alan Duncan MP, Minister of State for International Development",,,,,
Date,Destination,Purpose,Type of travel,"Number of officials accompanying Minister, where non-scheduled travel is used","Total cost including travel, and accommodation of Minister only"
09 October to 13 October,"Kingston, Jamaica and Bridgetown, Barbados",Ministerial visit to country offices to see programme first hand and meet Government partners,Scheduled,,"£5,437"
16 October to 21 October,Tajikistan and Kyrgyzstan ,Ministerial visit to country offices to see programme first hand and meet Government partners,Scheduled,,"£3,281"
27 October to 29 October,"Paris, France",Attend UNESCO Ministerial Forum,Eurostar,,£499
4 December to 9 December,"Turks and Caicos Islands, and Montserrat",Ministerial visit to country offices to see programme first hand and meet Government partners,Scheduled,,"£6,426"
31 December to 8 January,"Muscat, Oman","Represent UK Government at a seminar with the Government of Oman on international issues, [attend meetings with Government officials and Ministers] and attend New Year function. ",,,Paid for by the Government of Oman 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
HOSPITALITY[1],,,,,
,,,,,
,,,,,
,,,,,
Date ,Name of organisation ,Type of Hospitality received,,,
11-Oct,Caribbean Airlines,Flight upgrade,,,
31-Oct,The Times and The Independent,Lunch,,,
08-Nov,Anglo-Omani Society,Lunch,,,
14-Nov,The Herald and The Independent,Lunch,,,
12-Dec,Sky News,Christmas Drinks,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES[2]",,,,,
,,,,,
Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
October,The International Monetary Fund (IMF),Global economy,,,
November,The Gates Foundation,Private Foundations,,,
November,European Bank for Reconstruction and Development (EBRD),EBRD.,,,
November,"Dr Mohamed Qubaty, Ismail Ayed Al Haymi, Saleh Farid  Representatives of the Yemeni private sector",Yemen,,,
November,"Salem Bin-Ashor, Yemeni Tribal Leader",Yemen,,,
November,The United Nations Relief and Works Agency (UNWRA),DFID‘s support to UNWRA.,,,
November,"LGBT Round Table discussion Justice for Gay Africans, Kaleidoscope",Gay rights in developing countries,,,
November,Asian Development Bank (AsDB),DFID’s support to the AsDB.,,,
November,Chatham House,Chatham House’s work in Yemen,,,
November,The British-Arab Group,To meet young Palestinian leaders participating in the British Arab Exchange (BAX) “Building the Future” leadership training programme.,,,
November,Al Jazeera,Reception to celebrate the 5th anniversary of Al Jazeera English,,,
December,Food and Agriculture Organisation of the United Nations (FAO),FAO’s reform plans.,,,
December,"Tawakul Karman, Yemeni Nobel Peace Prize Winner",To offer congratulations on the receipt of her Nobel Peace Prize.,,,
December,Chatham House,Chatham House’s work in Yemen,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,,,,,
,,,,,
,,,,,
"[1]Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined   ",,,,,
,,,,,
"[2] Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.   ",,,,,
