Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense Code,Expense Type,Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,452946,1-2/HC850/E2111,DAVID ADAMSON  AND PARTNERS LIMITED,C-H22600-3531,Community Servs-Housing Conditions Surve,08-Jul-11,"£12,460.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453864,19174690-15,ADT FIRE AND SECURITY,C-D13100-1114,Muni Off Blgs-Security systems,22-Jul-11,£229.56
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453773,19276558-15,ADT FIRE AND SECURITY,C-L21100-1114,Town Hall-Security systems,22-Jul-11,£579.97
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453409,141711,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£15.70
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453410,141710,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£15.05
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453442,141708,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£43.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453422,141722,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£250.53
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453421,141718,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£94.69
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453420,141712,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£52.21
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453419,141709,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£31.39
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453418,141707,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£44.44
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453417,141713,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£20.65
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,453416,141717,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,15-Jul-11,£114.65
