CPS outcomes by principal offence category Gloucester October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,66,84.60%,12,15.40%
C Sexual Offences,5,83.30%,1,16.70%
D Burglary,20,95.20%,1,4.80%
E Robbery,3,100.00%,0,0.00%
F Theft And Handling,86,95.60%,4,4.40%
G Fraud And Forgery,7,87.50%,1,12.50%
H Criminal Damage,21,87.50%,3,12.50%
I Drugs Offences,39,100.00%,0,0.00%
J Public Order Offences,22,71.00%,9,29.00%
K All Other Offences (excluding Motoring),13,81.30%,3,18.80%
L Motoring Offences,139,91.40%,13,8.60%
Admin Finalisations,0,0.00%,7,100.00%
TOTAL,421,88.60%,54,11.40%
