Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,171,159.31,224,216.76,679,665.10,666,641.89,128,124.76,0,0.00,1868,1807.82,19,19.00,1,1.00,107,98.72,0,0,127,118.72,1995,1926.53,7407137.65,29100.81,433010.7,103353.65,1453302.96,884192.38,10310098.15,1422564.24,364327.032,1786891.272,12096989.42,,,1422564.24,364327.032,1786891.272
Driving Standards Agency,Executive Agency,Department for Transport,227,188.34,1669,1560.05,302,297.60,42,41.89,2,2.00,0,0.00,2242,2089.88,10,10.00,1,1.00,0,0.00,0,0,11,11.00,2253,2100.88,4578904.65,109706.23,0,171539.72,869826.31,372424.78,6102401.69,74287.67,-18341.33,55946.34,6158348.03,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4322,3805.60,749,707.30,595,573.52,123,118.25,6,6.00,0,0.00,5795,5210.67,0,0.00,3,3.00,3,2.50,0,0,6,5.50,5801,5216.17,9152908,59118,-1090,302439,1621348,601866,11736589,199671,5000,204671,11941260,,,,,
Highways Agency,Executive Agency,Department for Transport,1375,1329.71,343,323.56,1427,1378.87,346,335.79,36,35.19,0,0.00,3527,3403.12,0,0.00,86,30.05,0,0.00,0,0,86,30.05,3613,3433.17,8424101.51,652571.41,121885.32,127930.12,1729298.89,743190.02,11798977.27,555705.76,,555705.76,12354683.03,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,426,388.97,216,207.24,297,270.21,107,102.90,5,5.00,0,0.00,1051,974.32,23,23.00,0,0.00,0,0.00,0,0,23,23.00,1074,997.32,2308917.06,210708.1,0,158430.51,482884.32,187104.19,3348044.18,105047,,105047,3453091.18,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,40,34.46,40,37.79,76,73.91,9,9.00,1,1.00,0,0.00,166,156.16,4,4.00,0,0.00,0,0.00,0,0,4,4.00,170,160.16,489038,7216,2250,21008,85750,42422,647684,12842,0,12842,660526,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1037,972.30,797,781.38,409,402.37,42,41.55,4,4.00,0,0.00,2289,2201.60,43,42.17,12,12.00,39,39.00,0,0,94,93.17,2383,2294.77,4539600.44,374318,5850,383471.61,914542.34,398237.86,6616020.25,602936.19,,602936.19,7218956.44,Vacant posts remain and Pay award included,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,1,1.00,5,5.00,3,2.70,1,1.00,0,0.00,10,9.70,0,0.00,0,0.00,2,2.00,0,0,2,2.00,12,11.70,34799.15,2862.88,0,0,4228.92,3084.43,44975.38,5460,,5460,50435.38,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,5.90,12,5.90,2,0.50,0,0.00,0,0.00,0,0,2,0.50,14,6.40,94907.1,0,0,0,5896.71,-6185.76,94618.05,0,1031.25,1031.25,95649.3,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,78,76.80,13,13.00,209,206.60,112,111.60,20,19.80,1,1.00,433,428.80,31,31.00,64,63.60,151,151.00,0,0,246,245.60,679,674.40,1687610,0,0,0,66132,195810,1949552,1269790,,1269790,3219342,HS2 non payroll spend is for May & June,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,27,10.40,18,18.00,65,64.60,13,12.80,4,4.00,72,66.70,199,176.50,5,2.80,0,0.00,0,0.00,0,0,5,2.80,204,179.30,512840,8753,0,22773,2406,45893,592665,14058,0,14058,606723,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,16,15.80,12,11.60,11,10.90,3,3.00,0,0.00,43,42.30,1,0.60,0,0.00,4,0.90,0,0,5,1.50,48,43.80,143705,385,0,0,27579,13442,185111,7110,0,7110,192221,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,307,297.00,307,297.00,5,5.00,0,0.00,0,0.00,0,0,5,5.00,312,302.00,839860.13,8300.44,122,33647.1,161976.33,74328.01,1118234.01,11818.08,,11818.08,1130052.09,,,,,
