Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,05-Dec-2011,Consultants,Security V&I Programme Support - Various ODA Suppliers,Ove Arup & Partners Limited,64034,29925.63,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,64034,5985.13,2
DCMS,ODA,05-Dec-2011,Supervisor,North Park Project Supervisor - Capita Symonds,Capita Symonds Limited,64587,39003.81,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Capita Symonds Limited,64587,7800.76,2
DCMS,ODA,05-Dec-2011,Surveyor,H & V Control,Mason Land Surveys Ltd,64654,39706.07,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mason Land Surveys Ltd,64654,7941.21,2
DCMS,ODA,05-Dec-2011,Surveyor,H & V Control,Mason Land Surveys Ltd,64654,-39706.07,3
DCMS,ODA,05-Dec-2011,Surveyor,H & V Control,Mason Land Surveys Ltd,64654,31906.07,4
DCMS,ODA,05-Dec-2011,Surveyor,H & V Control,Mason Land Surveys Ltd,64654,7800,5
DCMS,ODA,05-Dec-2011,Light & Heat,Utilities,Cofely East London Energy Ltd,64698,34843.42,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,64698,6968.68,2
DCMS,ODA,05-Dec-2011,Grant Payable,Heavy Rail Compensation Costs,Department for Transport,64767,1000000,1
DCMS,ODA,05-Dec-2011,Grant Payable,Stratford Regional Station Re-Development,Transport For London,64776,332625.41,1
DCMS,ODA,05-Dec-2011,Grant Payable,Stratford Regional Station Re-Development,Transport For London,64776,204908,2
DCMS,ODA,05-Dec-2011,Grant Payable,Stratford Regional Station Re-Development,Transport For London,64776,946233.59,3
DCMS,ODA,05-Dec-2011,Supervisor,Aquatics - Supervisor,Sport Concepts Design Ltd,64784,21903,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Sport Concepts Design Ltd,64784,4380.6,2
DCMS,ODA,05-Dec-2011,Legal - Other,Utilities ODA Costs,Berwin Leighton Paisner LLP,64804,50000,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner LLP,64804,10000,2
DCMS,ODA,05-Dec-2011,Consultants,SBH SP - Engineering Mgt South Park (post 01/04/07),Ove Arup & Partners Limited,65050,41177.09,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,65050,8235.42,2
DCMS,ODA,05-Dec-2011,Consultants,Construction tech Support - SBH South Park,Ove Arup & Partners Limited,65056,37553.45,1
DCMS,ODA,05-Dec-2011,Consultants,Construction tech Support - SBH South Park,Ove Arup & Partners Limited,65056,72019.38,2
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,65056,21914.57,3
DCMS,ODA,05-Dec-2011,Consultants,ODA systems Integration staff,Ove Arup & Partners Limited,65142,29366.02,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,65142,5873.2,2
DCMS,ODA,05-Dec-2011,Consultants,SI Arup from 1 April 2009,Ove Arup & Partners Limited,65143,28692.15,1
DCMS,ODA,05-Dec-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,65143,5738.43,2
DCMS,ODA,05-Dec-2011,Tier 1 Contractors,Temporary Buildings,Portakabin Ltd,65158,21052.5,1
