Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,14298874,266800.8,National Collaborating Centre work on Mental Health for Guidelines Quarter 1 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Rent,NP - Facilities - London,BRITISH COUNCIL,14299154,193121.91,Rent payment for office space at 10 Spring Gardens 24/06/15 - 28/09/15,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Service Charge,NP - Facilities - London,BRITISH COUNCIL,14299154,23791.42,Service charge payment for office space at 10 Spring Gardens 01/07/15 - 30/09/15,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Rent,NP- Facilities - Manchester,KNIGHT FRANK LLP,14333285,48989.42,Professional fees for Rates revaluation,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Agency Admin & Clerical,Design,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,14386476,25035.29,Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Audit Fees: Statutory,NP-Finance,NATIONAL AUDIT OFFICE,14386762,25250,Audit fee for 2014-15 Financial Statements,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,14404086,980685,National Collaborating Centre Quarter 1 Year 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Contr Other External,NP-IT,INSPIRED NETWORKS,14448563,29126.98,IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,"Books, Journals & Subscr",NP - National Core Content HEE,BMJ PUBLISHING GROUP LTD,14556545,218281.5,Library service - access to BMJ Journals online,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Contr Other External,NP - Medical Technologies Evaluation Programme,CARDIFF & VALE ULHB,14556659,212333.4,Quarter 1 Invoice - Medical technologies evaluation programme Year 2,,,,,
Department of Health,National Institute for Health & Care Excellence,01/07/2015,Contr Other External,Fully Recovered: International Commercial Activity,IC CONSULTANTS LTD,14639150,40347.13,Piloting International Decision support initiative ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
