Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,04/04/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-133 ,£848.82,
DFID,DFID,04/04/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-134 ,£742.65,
DFID,DFID,29/04/2016,Training - Course Fees ,Conflict  Humanitarian  Security & Stabilisation Division , ILX Group ,100049-134 ,£725.98,
DFID,DFID,29/04/2016,Training - Course Fees ,Research and Evidence Division ,Association of Chartered Certified Accountants ,100039-108 ,£689.00,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,"£1,341.26",
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£592.80,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£737.06,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£559.00,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£654.61,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£654.61,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£654.61,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£697.25,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£697.25,
DFID,DFID,04/04/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£697.25,
DFID,DFID,29/04/2016,Office Supplies ,Group Operations ,Banner ,100106-101 ,£591.33,
DFID,DFID,29/04/2016,General Equipment ,Group Operations ,The Pub Shop,100106-101 ,£701.83,
DFID,DFID,29/04/2016,Office Supplies ,Group Operations ,Banner ,100106-101 ,£584.29,
DFID,DFID,29/04/2016,Postage Costs ,Group Operations ,Neopost ,100106-101 ,£510.00,
DFID,DFID,04/04/2016,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£761.53,
DFID,DFID,29/04/2016,Training - Course Fees ,Economic Development Division ,Corporate Travel Provide,100111-101 ,£655.61,
DFID,DFID,23/04/2016,Air fares ,Economic Development Division ,Corporate Travel Provider ,100120-101 ,£767.83,
DFID,DFID,23/04/2016,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,047.17",
DFID,DFID,23/04/2016,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£827.06,
