Prompt Payment Report - 2014/15,,
,,
5 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,28 December - 24 Janauary (P10),
,,
No. of invoices received,1080,
No. of invoices paid within 5 working days or less,670,
No. of Invoices paid over 5 working days,393,
No. of disputed invoices*,17,
% of invoices paid within 5 days,63%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
