Trust code,Trust Name,N of carotid endarterectomy cases on the NVR,N of Symptomatic cases,% of patients referred within 7 days of symptom,% of patients receiving surgery within 7 days of referral,% of patients having surgery within 14 days of symptom,% Stroke and/or death Adjusted,Median delay and IQR from index symptom to surgery,Median and IQR length of stay
R1H,Barts Health NHS Trust,38,30,77%,57%,77%,4.2%,"9 (5,14)","4 (2,9)"
R1K,London North West Healthcare NHS Trust,36,29,83%,75%,79%,1.8%,"7 (5,13)","6 (2,10)"
RA9,Torbay and South Devon NHS Foundation Trust,18,18,83%,67%,89%,0.0%,"9 (7,11)","2 (1,3)"
RAE,Bradford Teaching Hospitals NHS Foundation Trust,52,44,68%,37%,55%,1.6%,"14 (8,34)","3 (3,4)"
RAJ,Southend University Hospital NHS Foundation Trust,29,27,89%,83%,89%,2.3%,"8 (4,10)","9 (5,14)"
RAL,Royal Free London NHS Foundation Trust,11,11,64%,91%,73%,0.0%,"6 (3,20)","2 (2,3)"
RBA,Taunton and Somerset NHS Foundation Trust,62,61,72%,65%,67%,1.5%,"11 (8,17)","2 (1,3)"
RC1,Bedford Hospital NHS Trust,29,26,38%,10%,15%,1.2%,"33 (21,45)","1 (1,1)"
RCB,York Teaching Hospital NHS Foundation Trust,151,144,79%,93%,86%,3.5%,"4 (3,8)","3 (2,6)"
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,15,15,64%,64%,43%,1.9%,"17 (6,88)","6 (1,15)"
RDE,Colchester Hospital University NHS Foundation Trust,67,56,73%,33%,55%,4.1%,"14 (9,48)","3 (2,3)"
RDU,Frimley Health NHS Foundation Trust,44,40,59%,72%,65%,3.8%,"10 (6,17)","4 (2,7)"
RDZ,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,48,45,73%,60%,67%,0.0%,"9 (6,19)","2 (1,2)"
REF,Royal Cornwall Hospitals NHS Trust,48,46,59%,48%,43%,3.3%,"16 (10,27)","2 (2,4)"
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",28,26,64%,11%,15%,4.9%,"27 (17,45)","3 (2,10)"
RGT,Cambridge University Hospitals NHS Foundation Trust,84,73,57%,23%,37%,1.1%,"20 (13,43)","2 (1,3)"
RH8,Royal Devon and Exeter NHS Foundation Trust,31,31,81%,84%,74%,3.2%,"7 (3,17)","2 (1,3)"
RHM,University Hospital Southampton NHS Foundation Trust,64,59,75%,36%,56%,2.6%,"14 (9,20)","2 (2,3)"
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,62,61,52%,21%,30%,2.6%,"18 (14,33)","3 (2,5)"
RJ1,Guy's and St Thomas' NHS Foundation Trust,59,50,66%,76%,68%,2.8%,"10 (7,16)","4 (3,6)"
RJ7,St George's University Hospitals NHS Foundation Trust,26,25,78%,85%,88%,0.6%,"8 (6,12)","4 (3,7)"
RJE,University Hospital of North Midlands NHS Trust,78,78,75%,58%,67%,2.3%,"10 (6,25)","2 (1,4)"
RJR,Countess of Chester Hospital NHS Foundation Trust,101,99,58%,8%,11%,2.4%,"33 (21,50)","2 (2,3)"
RJZ,King's College Hospital NHS Foundation Trust,81,64,66%,53%,59%,2.8%,"10 (6,34)","4 (3,7)"
RK9,Plymouth Hospitals NHS Trust,44,37,89%,43%,59%,0.0%,"11 (8,17)","1 (1,2)"
RKB,University Hospitals Coventry and Warwickshire NHS Trust,50,49,53%,26%,33%,0.0%,"21 (13,53)","2 (1,3)"
RLN,City Hospitals Sunderland NHS Foundation Trust,39,37,72%,54%,78%,1.8%,"12 (9,14)","2 (2,3)"
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,75,69,76%,79%,76%,2.1%,"8 (5,13)","5 (3,8)"
RM2,University Hospital of South Manchester NHS Foundation Trust,21,16,63%,38%,56%,0.8%,"14 (8,68)","2 (1,5)"
RNA,The Dudley Group NHS Foundation Trust,64,64,80%,66%,75%,3.3%,"11 (8,15)","2 (1,5)"
RNL,North Cumbria University Hospitals NHS Trust,28,27,64%,57%,58%,0.0%,"14 (11,29)","3 (2,4)"
RNS,Northampton General Hospital NHS Trust,38,35,48%,39%,38%,3.9%,"22 (9,49)","2 (2,3)"
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,38,37,73%,39%,54%,0.9%,"14 (13,19)","1 (1,4)"
RPA,Medway NHS Foundation Trust,15,12,42%,27%,33%,1.3%,"23 (11,75)","1 (1,3)"
RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,106,101,71%,15%,29%,3.3%,"22 (14,39)","2 (1,5)"
RQ8,Mid Essex Hospital Services NHS Trust,40,36,66%,3%,14%,0.0%,"74 (35,206)","2 (2,3)"
RQW,Princess Alexandra Hospital NHS Trust,5,4,75%,20%,25%,0.0%,"208 (79,270)","1 (1,1)"
RR1,Heart of England NHS Foundation Trust,35,31,63%,43%,52%,3.7%,"12 (6,39)","3 (2,6)"
RR7,Gateshead Health NHS Foundation Trust,24,24,58%,21%,21%,1.2%,"22 (18,32)","3 (3,6)"
RR8,Leeds Teaching Hospitals NHS Trust,59,58,59%,73%,60%,2.3%,"12 (7,21)","4 (2,8)"
RRK,University Hospitals Birmingham NHS Foundation Trust,72,61,55%,8%,15%,2.2%,"33 (23,49)","3 (2,5)"
RRV,University College London Hospitals NHS Foundation Trust,30,23,57%,60%,52%,1.4%,"12 (7,77)","1 (1,2)"
RTD,Newcastle upon Tyne Hospitals NHS Foundation Trust,75,69,76%,49%,64%,1.3%,"11 (8,20)","2 (2,5)"
RTE,Gloucestershire Hospitals NHS Foundation Trust,60,55,71%,27%,29%,1.5%,"21 (13,37)","2 (1,3)"
RTG,Derby Teaching Hospitals NHS Foundation Trust,48,46,69%,72%,63%,3.7%,"9 (6,27)","5 (3,10)"
RTH,Oxford University Hospitals NHS Foundation Trust,79,64,68%,54%,64%,2.4%,"12 (7,18)","2 (1,2)"
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,26,26,65%,44%,50%,0.8%,"18 (8,70)","3 (2,4)"
RTR,South Tees Hospitals NHS Foundation Trust,43,43,79%,26%,42%,1.1%,"18 (11,24)","2 (2,3)"
RVJ,North Bristol NHS Trust,117,113,72%,35%,58%,2.1%,"14 (9,19)","1 (1,3)"
RVV,East Kent Hospitals University NHS Foundation Trust,65,58,72%,85%,86%,1.5%,"7 (4,11)","4 (2,6)"
RW3,Central Manchester University Hospitals NHS Foundation Trust,56,52,76%,66%,71%,1.8%,"11 (5,15)","2 (1,4)"
RW6,Pennine Acute Hospitals NHS Trust,123,113,63%,76%,70%,1.2%,"7 (4,19)","3 (2,6)"
RWA,Hull and East Yorkshire Hospitals NHS Trust,72,70,61%,49%,43%,0.9%,"17 (10,33)","2 (2,5)"
RWD,United Lincolnshire Hospitals NHS Trust,47,46,59%,72%,59%,3.5%,"11 (8,23)","2 (2,3)"
RWE,University Hospitals of Leicester NHS Trust,70,62,75%,71%,79%,0.9%,"9 (6,13)","4 (3,8)"
RWG,West Hertfordshire Hospitals NHS Trust,53,53,83%,38%,45%,3.4%,"16 (9,34)","6 (4,14)"
RWH,East and North Hertfordshire NHS Trust,33,25,84%,71%,92%,2.2%,"5 (3,7)","3 (3,8)"
RWP,Worcestershire Acute Hospitals NHS Trust,70,69,60%,71%,54%,1.3%,"13 (7,22)","2 (2,6)"
RWY,Calderdale and Huddersfield NHS Foundation Trust,40,40,77%,56%,65%,0.0%,"12 (9,20)","2 (2,3)"
RX1,Nottingham University Hospitals NHS Trust,63,60,70%,79%,75%,0.9%,"8 (5,15)","1 (1,3)"
RXH,Brighton and Sussex University Hospitals NHS Trust,40,40,54%,65%,63%,0.0%,"12 (9,19)","2 (2,4)"
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,87,84,70%,59%,65%,2.7%,"11 (7,21)","2 (1,5)"
RXP,County Durham and Darlington NHS Foundation Trust,34,32,69%,47%,47%,3.4%,"15 (10,24)","3 (2,6)"
RXR,East Lancashire Hospitals NHS Trust,61,55,67%,34%,36%,3.8%,"22 (9,76)","2 (1,3)"
RXW,Shrewsbury and Telford Hospital NHS Trust,35,35,77%,60%,69%,3.1%,"10 (6,16)","1 (1,2)"
RYJ,Imperial College Healthcare NHS Trust,57,51,65%,63%,67%,1.5%,"10 (6,20)","4 (2,9)"
