Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,ACM-Basingstoke OT Team,Staff Travel  Expenses - General,30.01.2013,2209063505,1194.75,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-Basingstoke OT Team,Staff Travel  Expenses - General,31.01.2013,2209065505,1194.75,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-Basingstoke OT Team,Staff Travel  Expenses - General,31.01.2013,2209065824,1194.75,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Payments to Health Authorities,23.01.2013,2209047331,4905.25,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-LD Team Rush/Hart,Staff Travel  Expenses - General,31.01.2013,2209069675,780.00,R,RUSHMOOR BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,ACM-LD-Contingency,Agency Staff - Basic Pay,08.01.2013,2209009742,1326.78,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-LD-Contingency,Agency Staff - Basic Pay,08.01.2013,2209009757,777.60,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Access & Assessment Team,Other Misc Expenses,10.01.2013,3110480199,520.00,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,ACM-MH-Fareham & Gosport CTT,Payments to Health Authorities,03.01.2013,2209000459,5296.50,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH-Havant Comm Treatment Team,Administrative Staff - Basic Pay,02.01.2013,2208994668,2059.50,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044930,1067.10,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044949,1333.88,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044957,1298.31,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044962,1333.88,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044968,1333.88,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044974,533.55,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044979,1333.88,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044985,907.04,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-MH-Hollies CMHT-Aldershot,Agency Staff - Basic Pay,23.01.2013,2209044989,586.91,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-BasSupport,Staff Travel  Expenses - General,30.01.2013,2209063505,2787.75,R,AMAS LTD (CLIENTS ACCOUNT)
