Parameter,Period: May 2015,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Types,Detailed Expenses Type,Expense Code,Narrative,Payment Date,Transaction Number,Order ID,Amount,Capital/Revenue,Supplier Name,Supplier ID,Customer ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Highways,Highways,Operations,Current Assets,Inventories,Stock Received Suspense,,22/05/2015,10441728,809878,714.00,R,P K Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Highways,Highways,Operations,Current Assets,Inventories,Stock Received Suspense,,15/05/2015,10440584,809870,118.80,R,Arco Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Highways,Highways,Operations,Current Assets,Inventories,Stock Received Suspense,,19/05/2015,10440488,809878,383.36,R,P K Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Highways,Highways,Operations,Current Assets,Inventories,Stock Received Suspense,,15/05/2015,10440563,809899,185.40,R,Greenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Highways,Highways,Operations,Current Assets,Inventories,Stock Received Suspense,,15/05/2015,10440502,809810,386.00,R,P K Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Assets,Short Term Debtors,Creditor Suspense,,25/05/2015,10442086,0,64.48,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Assets,Short Term Debtors,Creditor Suspense,,25/05/2015,10442084,0,508.80,R,Pearson Education LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440653,0,45.00,R,General Teaching Council Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440627,0,11.43,R,Equitable Life A.S. E0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,29/05/2015,10441911,0,"6,431.09",R,Unison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440624,0,120.00,R,Clarke Willmott LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440626,0,510.00,R,Gateway Credit Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440642,0,"2,719.20",R,Unison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440668,0,17.56,R,HMCTS Wales Enforcement Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Control Division,Control Dept,Control,Current Liabilities,Short Term Creditors,Resource Link Payments,,19/05/2015,10440664,0,591.47,R,Monmouthshire C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 2 – Pupil Capacity 144-314,MCC Schools,Employees,Direct Employee Expenses,Salaries,,15/05/2015,10438712,0,"12,252.11",R,Torfaen County Borough Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Community Led Delivery,Community Education,Enterprise,Employees,Direct Employee Expenses,Salaries,,01/05/2015,10438348,0,451.20,R,Coleg Gwent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,19/05/2015,10441434,80034571,400.00,R,Meridian Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,29/05/2015,10442206,80034708,320.00,R,Meridian Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,22/05/2015,10441429,80034370,"1,170.00",R,Academics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,08/05/2015,10438948,0,80.00,R,Meridian Business Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,08/05/2015,10439224,80034141,"1,360.00",R,Academics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438220,0,580.00,R,Meridian Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438221,0,-118.00,R,New Directions Education Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438182,0,375.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438212,0,400.00,R,Meridian Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438111,80032737,605.48,R,New Directions Education Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,12/05/2015,10440140,0,700.00,R,Prospero Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,12/05/2015,10440126,0,145.00,R,Teaching Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,08/05/2015,10439159,80034057,145.00,R,Teaching Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,12/05/2015,10440295,0,575.00,R,Meridian Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,22/05/2015,10441687,0,575.00,R,Meridian Business Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 7 – Pupil Capacity 501-1800,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,01/05/2015,10438224,0,480.00,R,Education Staffing Solutions Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 2 – Pupil Capacity 144-314,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,22/05/2015,10441794,80034716,192.00,R,Attribute Sports Development Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 2 – Pupil Capacity 144-314,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,05/05/2015,10438275,0,905.00,R,TeacherActive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 1 – Pupil Capacity 1-143,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,29/05/2015,10442186,80034877,160.00,R,Attribute Sports Development Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERTED DETAIL,Schools Total,School Group 2 – Pupil Capacity 144-314,MCC Schools,Employees,Direct Employee Expenses,Agency Staff,,08/05/2015,10439164,80027809,532.15,R,Teaching Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
