Either Way Offences and Attempts ,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q4 2010/2011,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q4 2009/2010
Theft ,94,77,82,253,106,85,99,290
Removal of articles from places open to  the public ,0,0,0,0,0,0,0,0
Abstracting electricity,0,0,0,0,0,0,1,1
False accounting,0,0,0,0,0,0,0,0
Handling stolen goods,2,4,1,7,2,0,5,7
Going equipped for stealing etc,1,0,0,1,0,0,0,0
Making off without payment ,23,26,17,66,22,26,21,69
Making a false representation ,28,20,28,76,22,35,30,87
Failing to disclose information ,0,0,0,0,1,0,1,2
Fraud by abuse of position ,1,0,0,1,3,2,3,8
Possession of articles for use in frauds,0,0,1,1,1,0,1,2
Making or supplying articles for use in frauds,1,0,0,1,1,0,0,1
Obtaining services dishonestly ,2,0,2,4,3,1,3,7
Threats to destroy or damage property,1,1,5,7,0,1,1,2
Possessing anything with intent to destroy or damage property ,0,0,2,2,0,0,0,0
Possession of any class of drug (consistent with personal use),67,51,51,169,53,54,62,169
Other Forgery ,0,1,2,3,0,1,2,3
Total,220,180,191,591,214,205,229,648
