Spend over £25k - March 2017,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,10/03/2017,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,822734,"£870,000.00",Inspection Services,BR1 1LT,Programme Class
Department of Education,OFSTED,29/03/2017,Accommodation Service Charge,Property Division,London Borough of Camden,823082,"£421,655.00",Accommodation Rent and Service Charge,WC1H 9JE,Admin Class
Department of Education,OFSTED,06/03/2017,Travel,Corporate Transactions,Redfern Travel Ltd,822629,"£370,489.79",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,24/03/2017,Managed Services,Information Services,CACI Ltd,822937,"£340,779.64",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,01/03/2017,Managed Services,Information Services,CGI IT UK Ltd,822550,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,21/03/2017,Managed Services,Information Services,CGI IT UK Ltd,822872,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,30/03/2017,Accommodation Service Charge,Property Division,Amas Ltd,823114,"£274,000.00",Accommodation Rent and Service Charge,E14 5WQ,Admin Class
Department of Education,OFSTED,29/03/2017,Accommodation Service Charge,Property Division,Department for Education,823081,"£248,878.71",Accommodation Rent and Service Charge,FY5 3TA,Programme Class
Department of Education,OFSTED,13/03/2017,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,161324,"£231,194.32",Inspection Services,S2 4AN,Programme Class
Department of Education,OFSTED,31/03/2017,Managed Services,Information Services,Specialist Computer Centres,823127,"£222,673.67",ICT Support,B11 2LE,Programme Class
Department of Education,OFSTED,24/03/2017,Managed Services,Information Services,CACI Ltd,822925,"£116,880.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,30/03/2017,Managed Services,Information Services,Hewlett-Packard Limited,823107,"£97,178.38",ICT Support,RG12 1HN,Admin Class
Department of Education,OFSTED,29/03/2017,Accommodation Service Charge,Property Division,Nottingham City Council,823080,"£91,489.00",Accommodation Rent and Service Charge,NG1 2DE,Programme Class
Department of Education,OFSTED,10/03/2017,Managed Services,Information Services,CACI Ltd,822737,"£88,800.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,30/03/2017,Managed Services,Information Services,CACI Ltd,823095,"£84,870.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,24/03/2017,Managed Services,Information Services,CACI Ltd,822926,"£77,100.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,29/03/2017,Managed Services,Information Services,Huddle (Ninian Solutions Ltd),823049,"£72,144.00",ICT Support,E1 8EP,Admin Class
Department of Education,OFSTED,03/03/2017,Managed Services,Information Services,Rainmaker Solutions Limited,822594,"£71,779.50",ICT Support,MK18 1HD,Admin Class
Department of Education,OFSTED,29/03/2017,Managed Services,Information Services,LIVEWORK STUDIO LTD,823037,"£69,855.00",ICT Support,E1 6NF,Admin Class
Department of Education,OFSTED,30/03/2017,Managed Services,Information Services,CACI Ltd,823098,"£67,770.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,27/03/2017,Managed Services,Information Services,Itelligence Business Solutions (UK),822949,"£62,400.00",ICT Support,EC4A 3DW,Admin Class
Department of Education,OFSTED,09/03/2017,Managed Services,Information Services,CACI Ltd,822715,"£59,820.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,21/03/2017,Managed Services,Information Services,CGI IT UK Ltd,822873,"£56,101.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,01/03/2017,Managed Services,Information Services,CGI IT UK Ltd,822551,"£56,086.56",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,07/03/2017,Accommodation Service Charge,Property Division,F And C Property Asset Mgmt,822651,"£53,624.45",Accommodation Rent and Service Charge,W1U 7GA,Programme Class
Department of Education,OFSTED,28/03/2017,Managed Services,Information Services,Centiant Intl Limited,822971,"£51,585.71",ICT Support,RG24 8GQ,Programme Class
Department of Education,OFSTED,13/03/2017,Managed Services,Information Services,UNIT 4 Business Software Ltd CODA Di,822759,"£51,278.48",ICT Support,BS20 0PX,Programme Class
Department of Education,OFSTED,29/03/2017,Travel,Corporate Transactions,Calder Conferences Ltd,823053,"£49,003.10",Meeting and Conferencing Service,LS16 6RF,Programme Class
Department of Education,OFSTED,29/03/2017,Managed Services,Information Services,Bramble.cc Ltd,823044,"£47,190.00",ICT Support,SE1 7SP,Admin Class
Department of Education,OFSTED,07/03/2017,Accommodation Service Charge,Property Division,F And C Property Asset Mgmt,822649,"£45,320.87",Accommodation Rent and Service Charge,W1U 7GA,Programme Class
Department of Education,OFSTED,31/03/2017,Managed Services,Information Services,CACI Ltd,823126,"£44,200.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,03/03/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,110,"£43,952.42",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,17/03/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822831,"£43,787.69",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,13/03/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822756,"£42,929.91",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,06/03/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822610,"£42,431.50",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,27/03/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822963,"£42,413.42",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,31/03/2017,Fleet,Finance and Resources,Willis Limited,823124,"£39,900.00",Hire Car Insurance,IP1 1TA,Admin Class
Department of Education,OFSTED,10/03/2017,Managed Services,Information Services,CGI IT UK Ltd,822740,"£36,745.57",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,28/03/2017,Managed Services,Information Services,CGI IT UK Ltd,823006,"£34,598.40",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,24/03/2017,Managed Services,Information Services,Bytes Software Services Ltd,822932,"£33,577.20",ICT Support,KT22 7TW,Admin Class
Department of Education,OFSTED,01/03/2017,Managed Services,Inspection Data & Insight,RM Education,822560,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,29/03/2017,Managed Services,Inspection Data & Insight,RM Education,823030,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,29/03/2017,Managed Services,Inspection Data & Insight,RM Education,823031,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,07/03/2017,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,822662,"£32,952.59",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,29/03/2017,Managed Services,Information Services,Softcat Ltd,823062,"£32,832.00",ICT Support,SL7 1LW,Admin Class
Department of Education,OFSTED,08/03/2017,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,822673,"£29,613.53",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,23/03/2017,Managed Services,Information Services,Microsoft Limited,822879,"£27,090.00",ICT Support,RG6 1WG,Programme Class
Department of Education,OFSTED,29/03/2017,Managed Services,Information Services,Specialist Computer Centres,823042,"£26,668.61",ICT Support,B11 2LE,Programme Class
Department of Education,OFSTED,03/03/2017,Managed Services,Information Services,Data Continuity Group Limited,822599,"£26,068.20",ICT Support,RG12 9BG,Programme Class
