A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 12/1/2015 1:22:40 PM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9990175,"(28,711.00)",879108291,HT000020326,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9990176,"57,071.48",879108291,HT000020327,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9990176,"2,550.20",879108291,HT000020327,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,9994939,"314,208.40",,238449,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,10006070,"256,582.56",,235815,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9754422,"59,462.00",,75302,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,9755432,"27,706.00",,I0145119,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823219,"70,203.30",,41763,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823234,"83,588.72",,41761,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823252,"100,086.40",,42962,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823262,"87,783.81",,42960,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823289,"85,969.79",,44713,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823304,"89,559.80",,44714,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823357,"94,474.32",,46065,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823371,"97,159.34",,46068,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823454,"89,723.74",,47946,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9823467,"98,044.72",,47950,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,9917132,"60,773.58",,15173,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,9990183,"32,245.25",,HT000020334,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,9946418,"153,930.86",239731641,BUP1509EN,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9683722,"915,166.67",,70014686,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Clinical&Medical-Independent Sector,WINTER PRESSURES,CANTERBURY WAY SURGERY,9960537,"39,800.00",,SRNOV151,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,9852565,"26,916.67",654915415,52751019,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,9990189,"24,847.83",,HT000020340,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,9990189,623.20,,HT000020340,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Other Travel Costs - Car Parking,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,CP PLUS LTD,10032618,"3,323.32",,2055310,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Other Travel Costs - Car Parking,CORPORATE COSTS & SERVICES,CP PLUS LTD,10032618,"21,796.34",,2055310,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Other Travel Costs - Car Parking,IM&T,CP PLUS LTD,10032618,"13,999.06",,2055310,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Other Travel Costs - Car Parking,MEDICINES MANAGEMENT,CP PLUS LTD,10032618,"1,672.48",,2055310,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Other Travel Costs - Car Parking,RECHARGES,CP PLUS LTD,10032618,"3,584.24",,2055310,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Course Fees,PRIMARY CARE IT,CSC COMPUTER SCIENCES LTD,9806523,"39,261.34",584686581,5278003825,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9800615,"37,448.50",,4122023,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Non Contract,WINTER PRESSURES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9916505,"56,529.50",,4121378,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9631313,"16,003,575.00",,4121223,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9978166,"56,531.88",,4118845,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9978182,"51,780.04",,4118847,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,9800561,"33,917.00",,834430,
