DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,TRUSTMARQUE SOLUTIONS LTD,1011703433,"169,691.87",MONTHLY SUBSCRIPTION FSA435 – Microsoft Enterprise Agreement Year 3,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOODBORNE DISEASE CONTROL,ANIMAL AND PLANT HEALTH AGENCY,2012700256,"120,196.94",FS101126 Campylobacter slaughterhouse monitoring 2016 has recently undergone a 3 month costed extension ,KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE DIVISION,LONDON PENSIONS FUND AUTHORITY,1011703497,"118,815.00",Jul 17 - LPFA Deficit reduction payment,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,SECURITY & ESTATES,LONDON BOROUGH OF CAMDEN,1011703402,"118,762.00",JULY 17 CHARGES,WC1H 8NH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,PUBLIC HEALTH ENGLAND,2012700258,"101,817.79",TRAVEL AND SUBSITSTANCE,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,RAINMAKER SOLUTIONS LTD,1011703566,"100,716.67",Evolve IT Workpackage 3 – Overarching Management,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,TRUSTMARQUE SOLUTIONS LTD,1011703433,"78,159.12",MONTHLY SUBSCRIPTION FSA435 – Microsoft Enterprise Agreement Year 3,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",C E F A S,2012700252,"71,413.35",INVOICE FOR THE PERIOD JUNE 2017,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOODBORNE DISEASE CONTROL,PUBLIC HEALTH ENGLAND,2012700262,"57,347.30",PROJECT NUMBER FS102121,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,RAINMAKER SOLUTIONS LTD,1011703532,"52,772.50",MILESTONE Service Management – Workpackage 4,MK18 1HD,ADMIN
