Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Major works maintenance - HRA,Decoration vouchers,30-Aug-2017,200036450,Wilko Retail Ltd,"1,950.00"
Barrow Borough Council,Forum 28,Equipment maintenance,23-Aug-2017,200036397,Bill Caulfield Electrical,513.60
Barrow Borough Council,Parks and open spaces,Grounds maintenance - schedule of works,23-Aug-2017,200036405,Continental Landscapes Ltd,"4,226.03"
Barrow Borough Council,Human Resources,Professional fees,23-Aug-2017,200036345,Frontier Software Plc,"2,850.00"
Barrow Borough Council,Forum shop,TIC - third party income,23-Aug-2017,200036395,Stagecoach,532.88
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,23-Aug-2017,200036403,Schofield Construction Ltd,823.54
Barrow Borough Council,Craven house,Building cleaning,23-Aug-2017,200036356,Associated Cleaning Contractors,552.15
Barrow Borough Council,Human Resources,Subscriptions,03-Aug-2017,200036127,Retox Digital Ltd,"1,300.00"
Barrow Borough Council,HRA Estates,Professional fees,23-Aug-2017,200036353,Whiteheads Solicitors,"1,405.30"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,10-Aug-2017,200036186,Diseno Associates Ltd,872.58
Barrow Borough Council,Major works maintenance - HRA,Consultancy fees,10-Aug-2017,200036182,Procure Plus Ltd,"1,503.53"
Barrow Borough Council,The markets,Advertising,10-Aug-2017,200036163,Gala Graphics Ltd,583.33
Barrow Borough Council,Craven house,Planned Building repairs and maintenance,03-Aug-2017,200036078,Bill Caulfield Electrical,"1,766.55"
Barrow Borough Council,Information technology,Data Line Rental,30-Aug-2017,200036421,Liberata Uk Ltd,784.46
Barrow Borough Council,Forum shop,TIC - third party income,03-Aug-2017,200036076,Stagecoach,614.85
Barrow Borough Council,Insurance holding account,Insurance claims,10-Aug-2017,200036241,DAC Beachcroft Claims Ltd,"1,080.44"
Barrow Borough Council,Food safety,Professional fees,30-Aug-2017,200036432,Buckingham Futures Ltd,"1,246.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,10-Aug-2017,200036179,Hughes Brothers,"14,395.03"
Barrow Borough Council,Coastal Communities Fund,Professional fees,03-Aug-2017,200036109,Furness College,"1,156.83"
Barrow Borough Council,Voids maintenance - HRA,Central overheads,10-Aug-2017,200036179,Hughes Brothers,"27,881.53"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,10-Aug-2017,200036186,Diseno Associates Ltd,874.83
Barrow Borough Council,Allotments,Metered water,16-Aug-2017,200036316,Water Plus Ltd,"7,020.68"
Barrow Borough Council,Crematorium,Grounds maintenance - other works,23-Aug-2017,200036405,Continental Landscapes Ltd,"1,298.59"
Barrow Borough Council,Recycling,Recycling collection and processing,30-Aug-2017,200036418,FCC Enviroment Services (UK) Ltd,"37,352.57"
Barrow Borough Council,HRA administration,Professional fees,23-Aug-2017,200036328,The Housing Ombudsman,"3,548.75"
Barrow Borough Council,Dock museum,HLF Project - Barnes Wallis Exhibition 2017,23-Aug-2017,200036346,Jamie Barnes,500.00
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,30-Aug-2017,200036425,Hughes Brothers,"20,017.72"
Barrow Borough Council,Coastal Communities Fund,Professional fees,03-Aug-2017,200036118,St Georges C of E School,"1,250.00"
Barrow Borough Council,Street cleansing,Street cleansing,30-Aug-2017,200036418,FCC Enviroment Services (UK) Ltd,"46,688.33"
Barrow Borough Council,Development control,Professional fees,23-Aug-2017,200036366,R Stockley,"8,350.00"
Barrow Borough Council,The markets,Buildings repairs and maintenance,16-Aug-2017,200036292,Bill Caulfield Electrical,722.21
Barrow Borough Council,Capitalised Planned Maintenance,Heating,03-Aug-2017,200036080,Plumbing Trade Supplies,"3,805.85"
Barrow Borough Council,Suspense accounts,Income suspense account,16-Aug-2017,200036307,North West Ambulance Service NHS Trust,689.62
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,30-Aug-2017,200036431,PJ Smith (Garafix) Ltd,620.00
Barrow Borough Council,The park leisure centre,Chemicals,30-Aug-2017,200036461,Correct Flow Engineering Ltd,519.46
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,10-Aug-2017,200036234,Paul Cutcliffe,980.00
Barrow Borough Council,Major works maintenance - HRA,Doors,03-Aug-2017,200036143,SBP Ltd - Permadoor,"1,244.50"
Barrow Borough Council,Dock museum,Building cleaning,23-Aug-2017,200036359,Elior UK Ltd,"1,361.45"
Barrow Borough Council,HRA Estates,Cleaning - other,23-Aug-2017,200036356,Associated Cleaning Contractors,"3,665.82"
Barrow Borough Council,C - Princess Ball 22.07.17,Professional fees,10-Aug-2017,200036164,Joe Purdy,"1,562.31"
Barrow Borough Council,Tenant demand maintenance - HRA,Gas works,30-Aug-2017,200036424,Sure Maintenance,509.60
Barrow Borough Council,Disabled Facilities Grant,Grants,30-Aug-2017,200036410,South Lakeland Builders Ltd,"4,500.00"
Barrow Borough Council,Cost of collection,Court fees,03-Aug-2017,200036111,HMCTS,"2,526.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,16-Aug-2017,200036322,Hughes Brothers,"27,219.19"
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,10-Aug-2017,200036167,Liberata Uk Ltd,"69,944.01"
Barrow Borough Council,Dock museum,Equipment rental,03-Aug-2017,200036084,PHS Group Plc,564.20
Barrow Borough Council,Food safety,Professional fees,10-Aug-2017,200036239,Your Best Option,812.25
Barrow Borough Council,Homelessness,Homeless support funding,10-Aug-2017,200036204,Barrow Citizens Advice Bureau,"6,720.78"
Barrow Borough Council,Dock museum,Maintenance contracts - TSU,30-Aug-2017,200036463,Integral UK Ltd,520.00
Barrow Borough Council,Forum 28,Cleaning materials,23-Aug-2017,200036359,Elior UK Ltd,927.50
Barrow Borough Council,Disabled Facilities Grant,Grants,10-Aug-2017,200036186,Diseno Associates Ltd,"1,383.95"
Barrow Borough Council,Cost of collection,Professional fees,30-Aug-2017,200036430,Wilkin Chapman LLP,"1,495.00"
Barrow Borough Council,Street cleansing,Street cleansing,03-Aug-2017,200036121,FCC Enviroment Services (UK) Ltd,"46,688.33"
