Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/07/2014,Courier Services,Estates,CITY LINK,,Large,,5106204872,Courier services,CV3 4PA,"2,795.82",
Communities & Local Government,PINS,01/07/2014,Office Machinery Rental,ICT Business Partner,NEW RICOH UK,,Large,,5106204864,Click count charges x 15 MFDs,TW13 7HG,"29,591.78",
Communities & Local Government,PINS,02/07/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204892,Reducing credit balance account,S49 1HQ,"9,000.00",
Communities & Local Government,PINS,02/07/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204902,Postage costs,S49 1HQ,"2,272.03",
Communities & Local Government,PINS,02/07/2014,IT - Software Maintenance,ICT Business Partner,TOWERS WATSON LIMITED,,Large,,5106204881,JEGS software rental fee,WC1V 6TP,"1,980.00",
Communities & Local Government,PINS,02/07/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106204888,Disbursements,WC2B 4TS,"21,880.28",
Communities & Local Government,PINS,02/07/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106204888,Fees & charges,WC2B 4TS,"57,039.72",
Communities & Local Government,PINS,02/07/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106204904,Disbursements,WC2B 4TS,837.41,
Communities & Local Government,PINS,02/07/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106204904,"Fees, charges & disbursements",WC2B 4TS,"96,660.38",
Communities & Local Government,PINS,03/07/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106204956,Agency Costs ,AL1 4JB,302.63,
Communities & Local Government,PINS,03/07/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204911,SQL DBA contractor blanket order,SL6 1DP,"2,452.50",
Communities & Local Government,PINS,03/07/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204919,Dev contractor (rollout) ,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,03/07/2014,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106204931,CGI 2014/15,CF31 9AP,"3,323.77",
Communities & Local Government,PINS,04/07/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106204953,Statutory Advertising for NID,W1T 7RQ,449.68,
Communities & Local Government,PINS,04/07/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106204992,Paper Order 6/6/14 PD,NR3 1PD,"1,191.88",
Communities & Local Government,PINS,04/07/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106204992,Stationery Order 6/6/14 PD,NR3 1PD,739.15,
Communities & Local Government,PINS,04/07/2014,Vehicle hire,Group Managers,ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,57.70,
Communities & Local Government,PINS,04/07/2014,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,"9,221.10",
Communities & Local Government,PINS,04/07/2014,Vehicle hire,National Infrastructure Casework,ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,634.99,
Communities & Local Government,PINS,04/07/2014,Vehicle hire,Environmental Services,ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,284.39,
Communities & Local Government,PINS,04/07/2014,Vehicle hire,"Finance, Commercial & Statistics",ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,52.60,
Communities & Local Government,PINS,04/07/2014,Vehicle hire,Wales Director,ENTERPRISE RENT-A-CAR,,Large,,5106204989,VEHICLE HIRE JUNE 2014,TW20 8RX,"1,079.63",
Communities & Local Government,PINS,07/07/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106204909,Agency worker ,AL1 4JB,415.24,
Communities & Local Government,PINS,07/07/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106204920,Services of a Web Developer for 119 days,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,07/07/2014,"Furniture, Fittings and carpets",Admin Support,SENATOR INTERNATIONAL LIMITED,,Large,,5106204725,CL740HA/SS - Clipper Chair (Heaven),BB5 5YE,231.66,
Communities & Local Government,PINS,07/07/2014,"Furniture, Fittings and carpets",Admin Support,SENATOR INTERNATIONAL LIMITED,,Large,,5106204725,ZINSTALL 25 -  25 Delivery Charge,BB5 5YE,30.00,
Communities & Local Government,PINS,07/07/2014,Office Machinery Rental,ICT Business Partner,NEW RICOH UK,,Large,,5106205005,Click count charges x 12 MFDs,TW13 7HG,"8,946.52",
