"Publication of Spend  Publication of User Defined Spend over £25k  Amount Paid >£25k (Payment Date)  Parameters : AP-ORG ID: '1265', AP-PAYMENT DATE START: '01-MAY-2011', AP-PAYMENT DATE END: '31-MAY-2011', AP-MINIMUM PAYMENT LIMIT: '25000.00', INCLUDE RE",,,,,,,
,,,,,,,
Org Id:1265,,,,,,,
,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,RATES,RATES,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,31000215 RATES BILL 2011/12,"210,005.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/05/11,COMPUTER MAINTENANCE,INFORMATION MANAGEMENT & TECHNOLOGY,COMPUTACENTER (UK) LTD,7439921,"36,239.61"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/05/11,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,12671/05,"24,237.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/05/11,MED SURG EQPT MTCE CONTRACTS,MEDICAL ELECTRONICS,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1652857,"30,433.81"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/05/11,MED SURG EQPT MTCE CONTRACTS,MEDICAL ELECTRONICS,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1653015,"129,390.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,CONTRACT : PHOTOCOPYING RENTAL AND CHARGES,FINANCE DEPARTMENT,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LTD,1098629210,"48,991.59"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,CONTRACT : PHOTOCOPYING RENTAL AND CHARGES,FINANCE DEPARTMENT,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LTD,1098779960,"-60,359.08"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/05/11,COMPUTER MAINTENANCE,PROCUREMENT SERVICES,LEEDS PARTNERSHIPS NHS FOUNDATION TRUST,968564,"35,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,354447,"36,194.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,354449,"36,896.00"
