Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,18/11/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£502.75,
DFID,DFID,18/11/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,"£1,183.67",
DFID,DFID,24/11/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£665.86,
DFID,DFID,03/11/2015,Secure Staff Accommodation ,Western Asia Division ,Foreign & Commonwealth Office ,100020-101 ,£615.44,
DFID,DFID,30/11/2015,Training - Course Fees ,Western Asia Division ,Recipient name witheld,100020-101 ,£780.00,
DFID,DFID,18/11/2015,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-108 ,"£1,183.36",
DFID,DFID,24/11/2015,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100088-101 ,£873.63,
DFID,DFID,18/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£682.36,
DFID,DFID,24/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£505.91,
DFID,DFID,24/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£505.91,
DFID,DFID,24/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£649.80,
DFID,DFID,24/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£997.50,
DFID,DFID,24/11/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£993.66,
DFID,DFID,18/11/2015,Air fares ,Middle East  Humanitarian & Conflict Division ,Corporate Travel Provider ,100049-133 ,£762.98,
DFID,DFID,11/11/2015,Vehicle Petrol & Oil ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£514.28,
DFID,DFID,04/11/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£570.73,
DFID,DFID,30/11/2015,Postage Costs ,Group Operations ,Neopost,100106-101 ,£515.00,
DFID,DFID,30/11/2015,Reproduction & Printing Materials ,Group Operations ,Banner,100106-101 ,£508.32,
