Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Work & Pensions Corporate & Shared Services,Ministerial Department,Department for Work & Pensions,"3,730","3,250.38","3,281","3,045.12","3,800","3,626.55","1,572","1,515.15",201,197.43,17,16.6,"12,601","11,651.23",0,0,0,0,135,135,0,0,135,135,"12,736","11,786.23","£30,489,402","£452,515","£51,969","£165,444","£5,655,213","£2,336,458","£39,151,000","£1,290,602","£661,097","£1,951,699","£41,102,699",
Child Maintenance & Enforcement Commission,Crown Non Departmental Public Body,Department for Work & Pensions,"5,651","4,822.78","2,439","2,195.64",642,610.33,143,141.65,22,22,210,209.37,"9,107","8,001.77",0,0,0,0,2,2,5,5,7,7,"9,114","8,008.77","£13,909,772","£287,844",£22,"£290,797","£2,537,509","£923,056","£17,949,000","£19,517","£137,724","£157,241","£18,106,241",
Health & Safety Executive,Crown Non Departmental Public Body,Department for Work & Pensions,560,493.7,526,488.8,"1,770","1,675.20",685,656.9,45,44.3,0,0,"3,586","3,358.90",23,21,11,9.12,12,12,,,46,42.12,"3,632","3,401.02","£10,850,013","£132,255","£26,782","£31,499","£2,225,907","£958,674","£14,225,129","£251,042",£0,"£251,042","£14,476,171",
Jobcentre Plus,Executive Agency,Department for Work & Pensions,"40,613","35,312.32","32,752","29,390.26","5,836","5,599.43",520,510.68,37,36.54,3,2.81,"79,761","70,852.04",0,0,0,0,2,2,0,0,2,2,"79,763","70,854.04","£130,630,297","£1,132,535","£107,000","£58,534","£22,590,038","£8,121,158","£162,639,564","£19,120",£0,"£19,120","£162,658,684",
Pensions & Disability Carers Service,Executive Agency,Department for Work & Pensions,"8,757","7,694.27","4,695","4,182.52","1,026",981.66,178,174.72,19,18.8,1,1,"14,676","13,052.97",0,0,0,0,0,0,0,0,0,0,"14,676","13,052.97","£23,367,559","£223,269","£17,327","£803,086","£4,032,066","£1,483,611","£29,926,918",0,£0,£0,"£29,926,918",
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work & Pensions,76,65.19,32,28.58,19,17.23,7,6.73,1,1,0,0,135,118.73,0,0,1,1,0,0,0,0,1,1,136,119.73,"£266,732","£168,325",£0,£0,"£48,387","£37,663","£521,106","£5,803",£0,"£5,803","£526,910",
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,191,181.57,191,181.57,3,1.7,38,31.1,0,0,23,19.64,64,52.44,255,234.01,"£951,680","£15,651","£1,597",£0,"£73,638","£115,074","£1,157,641","£321,272","£398,277","£719,550","£1,877,191",
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,"4,356","4,207.00","4,356","4,207.00",158,153.3,1,1,0,0,0,0,159,154.3,"4,515","4,361.30","£7,142,866",£0,"£211,330","£50,931","£482,771","£602,511","£8,490,409","£336,019",£0,"£336,019","£8,826,428",Remploy do not use Civil Service Grades. Non-consolidated performance payments relate to a former Weekly Paid Employee's Bonus Scheme for Remploy's factory employees and no longer relate to performance.  Remploy is in the process of gradually consolidating these payments into basic pay
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,38,36.5,38,36.5,0,0,0,0,0,0,0,0,0,0,38,36.5,"£123,115",£0,£0,£0,"£24,371","£10,692","£158,178",£0,£0,£0,"£158,178",
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,280,266,280,266,25,22.7,0,0,8,8,0,0,33,30.7,313,296.7,"£1,390,879",£0,£0,£0,£0,£0,"£1,390,879","£171,945",£0,"£171,945","£1,562,824",TPR and ECR
