RFI Identifier,Type,Subject,Summary,Outcome,Refusal Reason(s)
5058,EIR,Keep Britain Tidy - Running Costs,Running costs paid directly from the Government to each Littering Agency-; Keep Britian Tidy-Keep Scotland Beautiful-Keep Wales Tidy,All Information Provided,
5057,EIR,Disposal Sites GIS Data,GIS data for Disposal Sites in the UK. Our interest more specifically is in the disposal site area TY052 Area 108/3 Attached is a study area shape file which shows the area we are interested in ,Information Not Held,12 (4)(a) - Information not held
5056,EIR,Food Waste,How much food waste in tons (1000KG) is it estimated that the UK produces per annum?,All Information Provided,
5051,EIR,AHWBE advice and correspondence relating to governments proposed budger culls,Copies of advice provided by AHWBE and sub groups to Defra relating to government's badger culls as well as correspondence (inc emails) between AHWBE and Defra officials/Ministers,Information Not Held,
5042,EIR,Cost of pilot badger cull,"Full costs of the planned badger cull in Gloucestershire .Can you establish from Defra what the costs of the pilot culls are estimated to be, including Natural England and Defra's total administrative costs",All Information Provided,
5041,FOI,"Management of High Hedleyhope Common, County Durham",Is there a management agreement in place and what consideration is involved? Please provide full details of the management prescriptions involved.,All Information Provided,
5038,FOI,International Conferences on Climate Change,"Notes, briefings and reports that were produced by Defra for 3 International meetings on climate change at the end of the 1980's",Information Not Held,
5037,EIR,Request for unpublished Defra research reports,Request for the release of five Defra research reports,Information Partially Provided,12 (4)(d) - Unfinished documents/incomplete data
5029,EIR,Badger Trust,"What indicators, factors, data, criteria will be used to evaluate safety, humaneness and efficacy? What steps are being taken to gather this data as part of the culling proposed? ",All Information Provided,
5028,FOI,Potential risks of the culls,DEFRA has commented that all landowners licensed to participate in the pilot badger culls will have undertaken a risk assessment. Please provide copies of all such risk assessments in your possession ,All Information Provided,
5027,FOI,Badger Cull,Where is the location in Gloucester where you intend to cull. How much training is needed for the marksmen to cull.,All Information Provided,
5026,FOI,Correspondence between Defra and the Prince of Wales,"Copies of correspondence between the Prince of Wales & the Ministerial Team. Between employees/ representatives of the Prince of Wales and the Defra Ministerial Team, and list of all meetings",Information Not Held,
5025,FOI,"Progress on CSR target 2011-15 - Defra, CEFAS, AHVLA, FERA.","Progress that has been made towards achieving targets set by the Comprehensive Spending Review for the period 2011-12 to 2014-15 by: Defra, Centre for Environment Fisheries and Aquaculture Science, Animal Health and Veterinary Laboratory Agency etc",All Information Provided,
5024,FOI,Mission assignment FOIA request,"Date of incident July 8 2008 Time 1030 local [ 0930 GMT ] Location CH49 Wirral The aircraft involved , G-MAFI , made a number of tight left hand orbits centred on the CH49 postcode area before climbing and departing to the north.",Information Not Held,
5023,FOI,Independent observers to the badger cull,Who the independent observers to the badger cull will be,All Information Provided,
5022,FOI,"Evaluation of data, the effectiveness of the forthcoming pilot for badger culls",All relevant information regarding plans to evaluate the effectiveness of the forthcoming pilot badger culls in Gloucestershire and Somerset.,All Information Provided,
5021,EIR,DWF calculations for Whitburn SPS,Request for calculations showing how 4.5XDWF = 129 l/s,No Information Provided,"12 (5)(a) - International relations, defence, etc, 12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , 12 (5)(d) - Confidentially of proceedings"
5020,FOI,Support/Sponsorship by Defra of Taste of Cumbria Food Festival,"Purpose of project, criteria for funding, copy of the application",Information Partially Provided,S43 - Commercial interests
5019,EIR,Norfolk Energy from Waste project,"Copies of all written and emailed evidence, of the detailed terms and conditions upon which Defra made its award of waste infrastructure credits worth £169m to NCC, and issued the related promissory note",All Information Provided,
5018,FOI,Open Data Initiative/Strategy,Can you provide names and contact details for the individuals responsible for Open Data Initiative within Defra at a Senior Management ownership level and at working level. ,Information Available Elsewhere,"S40 - Personal information, S21 - Information accessible by other means"
5017,FOI,Air Travel,"Total number of flights (domestic and international) by Ministers and Officials during 2010/11 and 2011/12, including where available arrival and departure airports. Also total spend on British and foreign registered carriers",All Information Provided,
5016,FOI,Purchase of Protective Footwear for Ice and Snow,Any reference to Ice Cleats below is a reference to any protective footwear/ or attachment to footwear which is designed to prevent the wearer from slipping/ tripping or falling ,All Information Provided,
5015,FOI,Usage statistics for Glysophate & atrazine based herbicies in uk,"Any documents and information, relating to the use of Glysophate & Atrazine based herbicides (such as Monsanto RoundUp) in use in the UK by agricultural farmers & other environmental services. ",All Information Provided,
5014,FOI,Ministerial Instructions,"Notes, briefings, documents or memorandums produced by or on behalf of ministers or special advisers since Monday September 3, 2012",All Information Provided,
5013,FOI,Communications between former Chief Exec of NE and Ministers,"All communications both letters (paper based) and electronic, including private email accounts between the former Chief Executive of Natural England and Ministers",Information Not Held,
5012,FOI,Efficacy studies into cattle vaccination,Details and results of studies which have been carried out where non-vaccinated and vaccinated cattle have been penned with infected cattle. I,All Information Provided,
5010,FOI,ELV Directive,"ELV exmptions under para 45, and number of businesses handling ELVs under Waste Management Licences/ Environmental Permits and the ifnormation by registration or WML/EP number and operator name",Information Not Held,
5009,EIR,Licenses to undertake badger culls,"Who or whom is getting the licenses to undertake the culls? Are any government subsidies, grants or financial assistance being given to the appropriate parties in order to administer the badger cull?",All Information Provided,
5008,FOI,IT Practices,What year did you first start permitting employees to connect their own personal devices to your network? How quickly can your IT department detect whether an employee has connected an unauthorised personal device to your network? ,Information Partially Provided,S24 - National Security
5007,EIR,The Judicial review of a badger cull,All departmental emails which refer to possibility of a judicial review of a badger cull on the grounds of breaching the Berne Convention,All Information Provided,
