Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Children's Services,Schools Payment Agency                 ,Supplies & Services,21/02/2014,3663,6151650,Revenue,1KF07,Banqueting Suite,339.80 ,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,05/02/2014,3663,6135632,Revenue,1KF07,Banqueting Suite,269.53 ,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,20/02/2014,3663,6149858,Revenue,1KF07,Banqueting Suite,479.84 ,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,21/02/2014,3663,6151439,Revenue,1KF07,Banqueting Suite,380.31 ,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,18/02/2014,3663,6146828,Revenue,1KF04,Staff Restaurant,256.98 ,
Children's Services,Invoice,Supplies & Services,03/02/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6117874,Revenue,1KF07,Banqueting Suite,482.32 ,
Children's Services,Invoice,Supplies & Services,18/02/2014, CORE CATERING MAINTENANCE CONTRACTS LTD,6110421,Revenue,1FN02,Mansion House,428.38 ,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,18/02/2014, REHABILITATION FOR ADDICTED PRISONER,6140548,Revenue,1MP27,DAT Residential Rehab,"2,152.28 ",
Environment & Regeneration,Highways                               ,Premises,27/02/2014, THOMPSONS OF PRUDHOE LTD,6161072,Revenue,1KEMC,Highways,425.48 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,13 FERGUSONS LANE,6142816,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,14 EIGHTH ROW,6142837,Revenue,1MH20,Ind Res Care PD,"9,800.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,18 SEA VIEW VILLAS,6142762,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,26/02/2014,93RD NEWCASTLE SCOUTS GROUP,6164715,Revenue,1KN63,Walker Ward,300.00 ,
Environment & Regeneration,Cityworks Westgate Centre  ,Supplies & Services,05/02/2014,A FIFIELD SERVICES,6116296,Revenue,1KL2A,Centre For Sport,795.00 ,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Rents,12/02/2014,A KIME ELECTRICAL,5998877,Revenue,1DE48,i8 - Lynwood NEC,368.00 ,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,A WILDERNESS WAY,6141447,Revenue,1MC02,Ind Sector Placements,"14,000.00 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,24/02/2014,A&J KEITH LTD,6159475,Revenue,1KVWC,Minor Works Contracts,"4,230.00 ",
