Company,Transaction Date,Transaction Amount,VAT,Merchant,Cost Centre,Account Code,MCC,Description
Health & Safety Executive,10/02/2016,£525.00,£0.00,CAPITA BUSINESS SERVS,282591,52113000,9399,Training Event
Health & Safety Executive,10/02/2016,£525.00,£0.00,CAPITA BUSINESS SERVS,282591,52113000,9399,Training Event
Health & Safety Executive,10/02/2016,£555.60,£0.00,CAPITA BUSINESS SERVS,287622,52113000,9399,Training Event
Health & Safety Executive,10/02/2016,"£1,155.60",£0.00,CAPITA BUSINESS SERVS,284521,52113000,9399,Training Event
Health & Safety Executive,10/02/2016,"£1,716.00",£0.00,CAPITA BUSINESS SERVS,285351,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,"£1,904.40",£0.00,CAPITA BUSINESS SERVS,285561,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,"£1,904.40",£0.00,CAPITA BUSINESS SERVS,285151,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,"£1,904.40",£0.00,CAPITA BUSINESS SERVS,285812,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,"£1,911.82",£0.00,CAPITA BUSINESS SERVS,287622,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,£600.00,£0.00,CAPITA BUSINESS SERVS,285482,52113000,9399,Training Event
Health & Safety Executive,18/02/2016,£710.46,£0.00,CAPITA BUSINESS SERVS,285812,52113000,9399,Training Event
Health & Safety Executive,08/02/2016,"£1,998.00",£0.00,IND & PARLIAMENT TRST,287622,52113000,8999,Training Event
Health & Safety Executive,15/02/2016,"£3,594.00",£599.00,HAYS PERSONNEL SERVICE,283600,52113000,7361,Training Event
Health & Safety Executive,16/02/2016,"£1,080.00",£180.00,WHITEHALL & INDUST,285021,52113000,7392,Training Event
Health & Safety Executive,16/02/2016,"£5,700.00",£950.00,WHITEHALL & INDUST,287622,52113000,7392,Training Event
Health & Safety Executive,26/01/2016,£510.00,£85.00,UNIVERSITY OF WARWICK,280065,52121006,8220,Vacancy Advert 
Health & Safety Executive,17/02/2016,£958.80,£159.80,RBI INVOICE PAYMENTS,280065,52121006,2741,Vacancy Advert 
Health & Safety Executive,21/01/2016,£540.00,£90.00,PETANS LTD,285812,52113000,8398,Training Event
Health & Safety Executive,21/01/2016,£545.00,£0.00,BLACKPOOL & FYLDE,285812,52113000,8220,Training Event
Health & Safety Executive,21/01/2016,£630.00,£105.00,PETANS LTD,285812,52113000,8398,Training Event
Health & Safety Executive,21/01/2016,£731.72,£121.96,ZURICH INSURANCE P,285812,52113000,6300,Training Event
