Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Ministry of Justice,Avon & Somerset Probation Trust,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,,
Ministry of Justice,Bedfordshire Probation Trust,21.08.2012,Estates Recharge,Rent,HMP003,51091,"62,312.00",Premises Recharge,NP20 9BB,Goverment,,,,,
Ministry of Justice,Bedfordshire Probation Trust,03.09.2012,Case Support,Child Care,STE007,52528,"26,283.00",Women Kind Project,LU1 2BW,Community,,,,,
Ministry of Justice,Cambridgeshire and Peterborough Probation Trust,04.10.12,Partnership ,ETE,Peterborough Womens Centre,0405,"36,875.00",Partnership,PE1 1SY,,,,,,
Ministry of Justice,Cheshire Probation Trust,25/10/2012,Estate,Whole Trust,MOJ,IN368650,"47,413.97",ICT charges Dec 11,L22 OPJ,Large,,,Training,,
Ministry of Justice,Cheshire Probation Trust,25/10/2012,Estate,Whole Trust,MOJ,IN368650,"106,224.69",ICT charges Jan 12,,Large,,,Training,,
Ministry of Justice,Cheshire Probation Trust,25/10/2012,Estate,Whole Trust,MOJ,IN364941,"40,953.27",ICT charges Oct 11,,Large,,,Training,,
Ministry of Justice,Cheshire Probation Trust,25/10/2012,Estate,Whole Trust,MOJ,IN364941,"46,832.99",ICT charges Nov 11,,Large,,,Training,,
Ministry of Justice,Derbyshire Probation Trust,12/10/2012,NOMS Recharges,All,National Offender Management Service,377153,"80,058.67",Estates Recharge,NP20 9BB,Public Sector,,,Administration,,
Ministry of Justice,Derbyshire Probation Trust,29/10/2012,NOMS Recharges,All,National Offender Management Service,390623,"63,102.96",IT Recharge,NP20 9BB,Public Sector,,,Administration,,
Ministry of Justice,Derbyshire Probation Trust,12/10/2012,Partnership Payment,Intervention,Women's Work Derbyshire Ltd,DP3,"25,000.00",Third party wok with women offenders,DE1 2GU,Private Sector,,,Administration,,
Ministry of Justice,Devon & Cornwall Probation Trust,05/10/2012,ICT Recharge,Trust wide,NOMS  Shared Service Centre,143900,"124,482.02",ICT Recharge for February & March,NP20 9BB,Public Sector,,,Administration,,
Ministry of Justice,Devon & Cornwall Probation Trust,05/10/2012,ICT Recharge,Trust wide,NOMS  Shared Service Centre,373541,"121,239.40",ICT Recharge for April & May,NP20 9BB,Public Sector,,,Administration,,
Ministry of Justice,Devon & Cornwall Probation Trust,05/10/2012,Property Recharge,Trust wide,NOMS  Shared Service Centre,377154,"115,527.67",Property Recharge for October,NP20 9BB,Public Sector,,,Administration,,
Ministry of Justice,Devon & Cornwall Probation Trust,31/10/2012,YOS Contribution,Cornwall,Cornwall Council,98111946,"36,904.00",Contribution to Youth Offending Service for 2012/13,TR1 3AY,Public Sector,,,Grant Payment,,
Ministry of Justice,Devon & Cornwall Probation Trust,31/10/2012,ICT Recharge,Trust wide,NOMS  Shared Service Centre,378157,"110,210.88",ICT Recharge for June & July,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Dorset Probation Trust,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return
Ministry of Justice,Durham and Tees Valley Probation Trust,11/10/2012,IT Support costs,IT Costs,HMPS - Steria,378120,"113,150.93",Recharges - OMNIA June/July 12,NP20 9BB,,,,revenue
Ministry of Justice,Essex Probation Trust,25/09/2012,MOJ recharge,Estates recharge,MOJ,377157,"107,499.66",Estates recharge  Sept,NP20 9BB,large,,,Administration
Ministry of Justice,Essex Probation Trust,13/07/2012,MOJ recharge,OMNI,MOJ,373502,"115,215.85",OMNI recharge Apr-May,NP20 9BB,large,,,Administration
Ministry of Justice,Essex Probation Trust,10/10/2012,MOJ recharge,OMNI,MOJ,378104,"120,211.29",OMNI recharge June - July,NP20 9BB,large,,,Administration
Ministry of Justice,Essex Probation Trust,31/07/2012,Professional Services,Employment advice,DLA Piper,102121,"49,200.00",Professional services acting on behalf of Essex Probation and Barrister Fees,EC2V 7EE,medium,,,Professional Services
Ministry of Justice,Gloucestershire Probation Trust,10.10.12,Premises,Estates recharge,MoJ,CRP0059278,"49,644.33","Sept, 12",NP20 9BB,Public Sector,n/a,n/a,Administration
Ministry of Justice,Gloucestershire Probation Trust,31.10.12,IT,Computer recharge,MoJ,CRP0059363,"65,981.39","June & July,12",NP20 9BB,Public Sector,n/a,n/a,Administration
Ministry of Justice,Greater Manchester Probation Trust,03/10/2012,Rent-Premises,Corporate Services,NATIONAL OFFENDER MANAGEMENT SERVICE,IN005603,"277,783.83",Rent-Commercial Estate recharge-September 12, NP20 9BB , Large ,,331-13015,Rent-Commercial Estate recharge-September 12
Ministry of Justice,Greater Manchester Probation Trust,03/10/2012,Rent-Premises,Corporate Services,NATIONAL OFFENDER MANAGEMENT SERVICE,IN005603,"94,766.67",Rent-Approved Premises recharge-September 12, NP20 9BB , Large ,,331-13015,Rent-Approved Premises recharge-September 12
Ministry of Justice,Greater Manchester Probation Trust,03/10/2012,Legal Services,Corporate Services,TRAFFORD MBC,IN005623,"25,617.69",Legal Services to July 2012, M33 6BY , Large ,,320-43001,Legal Services to July 2012
Ministry of Justice,Hampshire Probation Trust,10/10/2012,Fixed Pension Contributions,Employer Pension Contributions,Hampshire County Council,PI / 90000631 / September 2012,"66,042.00",Monthly fixed pension payment,SO23 8UB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,16/10/2012,Early Retirement - Enhanced Pe,Employer Pension Contributions,Hampshire County Council,PI / 90000631 / 3620005262,"32,343.79",Employer Pension Contribution,SO23 8UB,Large,N/A,N/A,Administration
