Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
ADD,426,266,155,*,0,460,394,9,55,*,460,398,45,*,16,460,309,139,10,*,35,28,*,*,0,228,176,49,*,0,180,179,*,121,22,99,157,144,10,0,*,0,38,32,6,0,0,0,460,450,10,0,419,*,0,415,446,63,357,8,*,10,0,*,446,443,*,446,9,434,*,429,236,57,*,75,35,13,8,0,460,353,84,13,*,*,*,*,0,421,14.8,*,1257,6.8,7.6,353,62.3,62.3,451,304,122,16,*,*,*,0,*,*,0,460,62.4,67.2,96.7,99.1,99.3,99.3,*,67.4,6.8,7.6,62.3,62.3,15,0,480,Both,120,22,11,75,0,*,*,*,Yes,Con,Axial,Doctors,Nurses,No,Yes,Yes
AEI,305,52,242,10,*,317,172,13,132,0,317,211,90,*,11,317,257,52,8,0,22,14,7,*,0,155,138,10,6,*,145,140,*,68,8,60,117,113,*,0,*,0,22,19,*,0,0,*,317,309,8,0,297,*,259,33,281,26,236,*,6,11,0,0,281,280,*,281,10,270,*,305,93,90,*,38,43,34,6,0,317,227,44,29,*,*,10,*,0,293,16,*,947,11.5,11.5,227,53.3,53.9,320,230,69,13,*,*,*,*,0,0,0,317,17,81.1,95.9,100,99.6,100,*,71.9,11.5,11.5,53.3,53.9,16.2,96.9,330,Both,52,12,8,20,0,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,No,Yes
AIR,245,91,127,*,24,260,156,7,97,0,260,119,119,9,13,260,202,46,12,0,30,15,14,*,0,123,110,7,*,*,128,124,*,55,14,41,85,70,*,*,6,0,21,20,*,0,0,0,260,248,12,0,234,0,7,227,224,18,142,26,*,32,*,0,224,224,0,224,7,216,*,245,115,36,*,17,39,31,*,0,260,174,30,37,*,0,15,*,0,239,19.9,*,735,9.7,9.6,174,55.2,54.3,261,190,49,14,*,*,0,*,0,0,0,260,37.1,77.7,92.3,99.2,100,99.6,*,72.8,9.7,9.6,55.2,54.3,20.7,0,290,DGH,20,7,6,9,0,*,*,0,Yes,Con,Axial,Nurses,Admin,No,Yes,Yes
ASH,308,195,97,0,16,328,206,9,113,0,328,148,155,13,12,328,298,19,11,0,14,*,*,*,0,175,170,*,*,0,176,176,0,62,10,52,125,119,*,*,*,0,13,12,0,0,*,0,328,317,11,0,291,*,290,0,293,47,130,39,0,77,0,0,293,293,0,293,*,290,0,301,177,*,*,59,25,33,*,0,328,221,72,13,10,0,12,0,0,299,10.2,19,988,8.6,8.8,221,54.3,53.6,331,300,22,6,*,0,*,0,0,0,0,328,63.3,90.9,99.1,100,100,100,*,90.6,8.6,8.8,54.3,53.6,29.1,84.8,340,DGH,44,10,8,8,40,*,*,0,No,Con,None,Nurses,Nurses,Yes,No,No
BAR,245,153,90,0,*,270,96,118,56,0,270,111,146,*,9,270,211,53,6,0,59,14,44,*,0,102,97,*,*,0,142,83,59,38,6,32,91,83,*,*,*,0,17,16,*,0,0,0,270,264,6,0,245,*,177,63,247,30,96,14,18,88,*,0,247,246,*,247,*,242,*,251,73,91,*,26,35,20,*,0,270,192,30,35,*,0,10,0,0,251,16.5,*,763,9.2,7.7,192,35.9,35.3,264,210,38,10,*,0,*,0,0,0,0,270,62.4,78.1,93.3,100,99.6,99.6,*,79.5,9.2,7.7,35.9,35.3,16.6,0,250,DGH,31.5,8,9,20,16,*,*,0,Yes,Con,Axial,Nurses,Audit,No,Yes,Yes
BAS,383,53,323,*,6,398,336,6,56,0,398,251,109,28,10,398,258,131,9,0,40,31,7,*,0,210,188,19,*,0,195,106,89,109,16,93,120,115,*,0,*,0,28,22,*,0,*,0,398,389,9,0,370,19,338,13,376,6,368,0,0,0,*,0,376,374,*,376,10,366,0,379,163,99,9,77,9,22,0,0,398,307,66,7,*,0,15,*,0,378,16.4,*,1163,7.1,6.8,307,56,57.6,403,249,128,21,*,*,*,*,*,0,0,398,13.8,64.8,94.7,99.5,99.5,99.5,*,61.8,7.1,6.8,56,57.6,16.6,82.4,400,DGH,44,12,13,25,24,*,*,*,No,Con,Axial,Nurses,Nurses,No,No,No
BAT,539,256,278,*,*,574,524,14,36,0,574,199,334,16,25,574,458,94,22,0,29,22,6,*,0,305,284,8,12,*,291,254,37,164,24,140,203,196,*,*,*,0,36,23,*,0,6,*,574,552,22,0,523,14,436,73,510,66,347,72,0,25,0,0,510,510,0,510,6,504,0,545,138,249,*,32,53,63,7,0,574,449,56,46,0,*,19,*,0,536,14.2,*,1525,9.4,9.1,449,52.8,53.2,577,461,95,14,*,*,0,0,0,0,0,574,47.5,79.8,99.7,99.3,100,100,*,79.9,9.4,9.1,52.8,53.2,14.4,91.1,520,DGH,73,15,16,26,32,*,*,0,Yes,Con,None,Nurses,Admin,No,Yes,Yes
BED,206,124,77,*,*,215,68,39,96,12,215,131,58,11,15,215,156,49,6,*,N/A,N/A,N/A,N/A,N/A,120,108,11,*,0,110,101,9,67,7,60,60,45,13,*,0,*,19,11,7,0,*,0,215,205,6,*,195,*,0,192,210,10,0,*,184,*,*,9,210,200,10,210,6,195,9,199,115,26,*,24,24,*,*,0,215,156,23,21,*,0,6,7,*,196,17.9,*,531,7,8,156,67.3,63.1,214,126,46,20,11,7,*,*,0,*,0,215,60.2,72.6,75.8,95.8,95.2,95.2,*,58.9,7,8,67.3,63.1,18,*,200,DGH,20,7,8,24,30,7,0,0,Yes,Nurse,Axial,HCAs,HCAs,No,No,Yes
BFH,417,345,64,0,8,443,441,0,*,0,443,0,0,0,443,437,304,127,6,0,24,21,*,*,0,234,226,*,*,*,228,204,24,94,13,81,163,126,37,0,0,0,21,21,0,0,0,0,443,437,6,0,421,0,415,6,423,22,265,106,0,20,10,0,423,423,0,423,*,418,0,426,306,11,*,65,22,19,0,0,443,334,65,24,*,*,13,0,0,416,5.9,10,1326,7.2,7.2,334,83.5,83.2,450,180,130,91,43,*,*,0,0,0,0,443,82.7,69.6,92.3,74.3,100,97.6,*,40,7.2,7.2,83.5,83.2,15.7,0,468,DGH,46.5,12,10,10,0,*,*,*,Yes,Con,Axial,Nurses,Nurses,No,No,No
BLA,437,234,201,*,*,456,258,9,189,0,456,14,386,*,54,456,344,95,17,0,33,15,13,*,*,234,174,53,7,0,187,176,11,98,21,77,164,146,15,0,*,0,12,*,7,0,0,0,456,439,17,0,410,*,397,9,406,19,180,36,0,171,0,0,406,406,0,406,*,402,*,427,228,*,0,70,61,47,16,0,456,320,50,61,*,*,16,*,0,426,15.3,7.5,1326,10.7,9.6,320,53.1,54.1,462,345,102,12,*,0,0,0,0,0,0,456,53.5,75.4,97.1,99.6,100,100,*,74.7,10.7,9.6,53.1,54.1,22.8,98.3,450,DGH,76,16,15,20,*,*,0,*,Yes,Con,Axial,Nurses,Nurses,No,Yes,Yes
