CPS outcomes by principal offence category 42 Areas,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,53,75.70%,17,24.30%
B Offences Against The Person,"8,913",74.60%,"3,029",25.40%
C Sexual Offences,697,70.80%,288,29.20%
D Burglary,"1,834",84.10%,347,15.90%
E Robbery,778,79.80%,197,20.20%
F Theft And Handling,"10,561",91.70%,957,8.30%
G Fraud And Forgery,883,85.30%,152,14.70%
H Criminal Damage,"3,094",86.40%,487,13.60%
I Drugs Offences,"5,196",93.60%,354,6.40%
J Public Order Offences,"5,751",84.30%,"1,073",15.70%
K All Other Offences (excluding Motoring),"3,551",84.20%,664,15.80%
L Motoring Offences,"22,385",91.10%,"2,199",8.90%
Admin Finalisations,0,0.00%,815,100.00%
TOTAL,"63,696",85.80%,"10,579",14.20%
