Table B.2:  Public spending control,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"This table sets out DFID's outturn for 2011-12, by subhead detail against the total budgetary control limits approved by Parliament at Main Estimate and at final Supplementary Estimate.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Resources,Main Estimate,Supplementary Estimate,Forecast Outturn,Variance from Main Estimate,Variance from Supplementary Estimate,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Voted Expenditure,"6,486,340 ","6,209,194 ","6,183,532 ","302,808 ","25,662 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
A:  CSC (NDPB) (net) scholarship relating to developing countires," 19,111 "," 19,111 "," 18,189 ", 922 , 922 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
B:  Wealth Creation," 616,226 "," 514,441 "," 421,231 "," 194,995 "," 93,210 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
C:  Climate Change ," 196,797 "," 237,547 "," 157,831 "," 38,966 "," 79,716 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
D: Governance and Security," 680,125 "," 673,796 "," 720,291 ","(40,166) ","(46,495) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
E:  Direct Delivery of Millenium Development Goals," 2,792,892 "," 3,063,497 "," 2,183,444 "," 609,448 "," 880,053 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
F:  Global Partnerships," 987,023 "," 576,247 "," 1,529,331 ","(542,308) ","(953,084) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
G:  Total Operating Costs," 232,200 "," 221,200 "," 207,944 "," 24,256 "," 13,256 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
H:  Central Programmes," 12,770 "," 12,770 ","(13,128) "," 25,898 "," 25,898 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
I:  Joint Conflict Pool," 23,920 "," 19,420 "," 21,570 "," 2,350 ","(2,150) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
J:  Independent Commission for Aid Impact (NDPB) (net), - ," 2,635 "," 2,116 ","(2,116) ", 519 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
K:  CSC (NDPB) (net) scholarship relating to developing countires, 630 , 630 , 588 , 42 , 42 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Departmental Unallocated Provision ," 88,646 ", - , - ," 88,646 ", - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Non-Voted,,,,,,,,,,,,,,,,
L:  European Union Attributed Aid," 836,000 "," 867,900 "," 934,125 ","(98,125) ","(66,225) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Spending in Annually Managed Expenditure,,,,,,,,,,,,,,,,
Voted,"218,535 ","211,031 ","43,960 ","174,575 ","167,071 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
M:  Wealth Creation,"(2,705) ","(2,705) ","(2,723) ", 18 , 18 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
N:  Direct Delivery of Millenium Development Goals," 226,872 "," 182,253 "," 41,052 "," 185,820 "," 141,201 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
O:  Total Operating Costs,"(3,632) ","(3,528) ","(3,927) ", 295 , 399 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
P:  Central Programmes,"(2,000) "," 35,011 "," 9,558 ","(11,558) "," 25,453 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,"6,704,875 ","6,420,225 ","6,227,492 ","477,383 ","192,733 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Capital,Main Estimate,Supplementary Estimate,Forecast Outturn,Variance from Main Estimate,Variance from Supplementary Estimate,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Voted Expenditure," 1,394,000 "," 1,658,105 "," 1,645,907 ","(251,907) "," 12,198 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
A:  CSC (NDPB) (net) scholarship relating to developing countires, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
B:  Wealth Creation," 105,725 "," 97,472 "," 127,995 ","(22,270) ","(30,523) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
C:  Climate Change ," 12,500 "," 46,605 "," 67,084 ","(54,584) ","(20,479) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
D: Governance and Security," 4,590 "," 27,290 "," 18,508 ","(13,918) "," 8,782 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
E:  Direct Delivery of Millenium Development Goals," 244,408 "," 235,961 "," 117,353 "," 127,055 "," 118,608 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
F:  Global Partnerships," 1,018,777 "," 1,242,777 "," 1,323,535 ","(304,758) ","(80,758) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
G:  Total Operating Costs, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
H:  Central Programmes," 8,000 "," 8,000 ","(8,568) "," 16,568 "," 16,568 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
I:  Joint Conflict Pool, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
