Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,02/09/2014,Hss Owen Ward Upgrade & Roof,Building Works,Whitfield & Brown (Devlop) Ltd,19564,"165,529.14"
Department of Health,Mersey Care NHS Trust,02/09/2014,Cheshire & M'Side Npfit,Cloud,Specialist Computer Cent.Ltd,551971,"52,174.00"
Department of Health,Mersey Care NHS Trust,02/09/2014,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,552126,"135,179.02"
Department of Health,Mersey Care NHS Trust,02/09/2014,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,552127,"117,479.07"
Department of Health,Mersey Care NHS Trust,04/09/2014,Carbon Reduction Commitment,Energy Accreditation,Department Of Energy And Climate Change,553555,"123,048.00"
Department of Health,Mersey Care NHS Trust,05/09/2014,First Step Trust,Service Contracts,First Step Trust,548740,"32,897.70"
Department of Health,Mersey Care NHS Trust,05/09/2014,First Step Trust,Service Contracts,First Step Trust,554191,"32,897.70"
Department of Health,Mersey Care NHS Trust,16/09/2014,Aintree Junior Adult,CT1 Core Training Yr1,St Helens & Knowsley Nhs Trust,20199,"300,000.00"
Department of Health,Mersey Care NHS Trust,16/09/2014,Bal Sheet Control,Drugs,Novartis Pharmaceuticals Uk Ltd,555004,"33,396.84"
Department of Health,Mersey Care NHS Trust,17/09/2014,PCP Acute Care,Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,20220,"3,026.70"
Department of Health,Mersey Care NHS Trust,17/09/2014,PCP Acute Care,Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,20220,387.24
Department of Health,Mersey Care NHS Trust,17/09/2014,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,20220,"66,684.74"
Department of Health,Mersey Care NHS Trust,17/09/2014,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,20220,"31,831.53"
Department of Health,Mersey Care NHS Trust,17/09/2014,Primary Care,Visiting Cons - Other,Aintree University Hospital Nhs F.T,20220,"2,722.64"
Department of Health,Mersey Care NHS Trust,17/09/2014,Resus/ECT,Resuscitation Training,Aintree University Hospital Nhs F.T,20220,"3,509.98"
Department of Health,Mersey Care NHS Trust,17/09/2014,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,20220,"2,569.57"
Department of Health,Mersey Care NHS Trust,24/09/2014,IMT Recharges,Software Licence,Civica Services Ltd,554364,"36,666.50"
Department of Health,Mersey Care NHS Trust,24/09/2014,Hss Owen Ward Upgrade & Roof,Building Works,Whitfield & Brown (Devlop) Ltd,19588,"300,564.42"
Department of Health,Mersey Care NHS Trust,24/09/2014,Ashworth Energy,Electricity,Edf Energy 1 Limited,555032,"38,686.99"
Department of Health,Mersey Care NHS Trust,24/09/2014,Estates,Water Rates,United Utilities Water Limited,555117,"51,118.08"
Department of Health,Mersey Care NHS Trust,24/09/2014,Windsor Clinic,FP 10's,Nhs Business Services Authority,20255,369.35
Department of Health,Mersey Care NHS Trust,24/09/2014,Brook Place,FP 10's,Nhs Business Services Authority,20255,"35,985.12"
Department of Health,Mersey Care NHS Trust,24/09/2014,D.A.R.T,FP 10's,Nhs Business Services Authority,20255,"30,727.51"
Department of Health,Mersey Care NHS Trust,24/09/2014,DRR Green Lane,FP 10's,Nhs Business Services Authority,20255,"4,886.46"
Department of Health,Mersey Care NHS Trust,24/09/2014,Pharmacy (NS),FP 10's,Nhs Business Services Authority,20255,"12,389.47"
Department of Health,Mersey Care NHS Trust,24/09/2014,Adult Drugs,FP 10's,Nhs Business Services Authority,20255,215.57
Department of Health,Mersey Care NHS Trust,24/09/2014,HSS Ward Windows Upgrades,Building Works,Ingham & Garner Ltd,19597,"389,660.55"
Department of Health,Mersey Care NHS Trust,24/09/2014,MCT Board Management,Consultancy Fees,Gpt Health Strategies,555495,"53,700.00"
Department of Health,Mersey Care NHS Trust,24/09/2014,MCT Board Management,Consultancy Fees,The Clayhanger Management Consultancy Ltd,555496,"61,800.00"
Department of Health,Mersey Care NHS Trust,24/09/2014,Finance Senior Team,Service Contracts,Royal Liverpool & Broadgreen,20316,"81,544.28"
Department of Health,Mersey Care NHS Trust,24/09/2014,Finance Senior Team,Service Contracts,Royal Liverpool & Broadgreen,20321,"63,864.40"
Department of Health,Mersey Care NHS Trust,30/09/2014,MH Management NSWL,Minor Works,E Williams & A Vis,555945,"88,830.00"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1077143,"698,999.83"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Superannuation (Ee),Nhs Pensions,1077143,"45,171.50"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1077143,"625,626.93"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1077143,"41,029.28"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1077143,"1,085,951.01"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Superannuation (Er),Nhs Pensions,1077143,"71,063.52"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Ni (Er),Hmrc,1077143,"734,697.54"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Ni (Er),Hmrc,1077143,"44,095.57"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Sap,Hmrc,1077143,"-1,017.04"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Smp,Hmrc,1077143,"-25,042.91"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Smp,Hmrc,1077143,"-2,034.08"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Student Loan Deductions,Hmrc,1077143,"20,297.00"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Student Loan Deductions,Hmrc,1077143,"1,110.00"
Department of Health,Mersey Care NHS Trust,19/09/2014,Bal Sheet Control,Income Tax,Hmrc,1077143,"1,262,819.60"
Department of Health,Mersey Care NHS Trust,19/09/2014,Nmhis Balance Sheet Control,Income Tax,Hmrc,1077143,"72,058.49"
Department of Health,Mersey Care NHS Trust,17/09/2014,Mct Legal Services,Clinical Negligence,Nhsla,1077170,"1,376.60"
Department of Health,Mersey Care NHS Trust,17/09/2014,Mct Legal Services,Liability To 3rd Party,Nhsla,1077170,"21,710.10"
Department of Health,Mersey Care NHS Trust,17/09/2014,Mct Legal Services,Property Expense Scheme,Nhsla,1077170,"19,628.50"
