£25K Expenditure October 2015,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount Paid,Invoice Amount,Reclaimable VAT
CA - PREPAYMENTS,Tameside Hospital NHS Foundation Trust,20-Oct-2015,PREPAYMENTS < ONE YEAR,DRUGS,AAH PHARMACEUTICALS LTD,SEPT 2015,"125,000.00","125,000.00",
CL - ACCRUALS,Tameside Hospital NHS Foundation Trust,20-Oct-2015,ACCRUALS < ONE YEAR,CL - ACCRUALS,ACCIDENT & EMERGENCY AGENCY LTD,TAMECI00000002,"37,895.91","37,895.91",
RADIOGRAPHY,Tameside Hospital NHS Foundation Trust,29-Oct-2015,OFFICE EQUIPMENT AND MATERIALS : REPAIRS,RADIOGRAPHY,ASHBY GB LTD,21453,"36,000.00","36,000.00",
THEATRES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,MED SURG EQPT HIRE,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391442450,"37,507.25","31,256.04","6,251.21"
THEATRES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391485128,"32,662.61","27,218.84","5,443.77"
FACILITIES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,EXTERNAL CONTRACTS : LAUNDRY,HOTEL SERVICES,BERENDSEN UK LIMITED,SN2194805,"60,004.30","50,003.58","10,000.72"
FACILITIES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,EXTERNAL CONTRACTS : LAUNDRY,HOTEL SERVICES,BERENDSEN UK LIMITED,SN2219794,"58,350.77","48,625.64","9,725.13"
ORTHOPAEDICS,Tameside Hospital NHS Foundation Trust,29-Oct-2015,HEALTHCARE FROM COMMERCIAL SECTOR,ORTHOPAEDIC MEDICAL STAFF,BMI HEALTHCARE LTD,HIG-SO476-JULY015,"50,617.77","50,617.77",
INFORMATION,Tameside Hospital NHS Foundation Trust,20-Oct-2015,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,INFORMATION,CHRISTIE NHS FOUNDATION TRUST,22296,"47,182.00","47,182.00",
NCA - PREPAYMENTS,Tameside Hospital NHS Foundation Trust,29-Oct-2015,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510182,,741.57,
NCA - PREPAYMENTS,Tameside Hospital NHS Foundation Trust,29-Oct-2015,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"56,275.75",
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,542.36,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"197,571.20",
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,0.36,
NCL - OTHER FINANCIAL LIABILITIES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,OBLIGATIONS UNDER PFI/LIFT > ONE YEAR,NCL - PFI LEASES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"103,953.11",
NURSING,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,NURSING,CONSORT HEALTHCARE (TAMESIDE) PLC,,,11.15,
RADIOGRAPHY,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,,,18.46,
RADIOGRAPHY,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,,,10.30,
PAEDIATRICS,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,PAEDIATRIC SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,3.82,
SURGERY,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,GENERAL SURGERY - WARDS,CONSORT HEALTHCARE (TAMESIDE) PLC,,,60.84,
SURGERY,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,ELECTIVE - OUTPATIENTS,CONSORT HEALTHCARE (TAMESIDE) PLC,,,2.08,
THEATRES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,HARTSHEAD THEATRES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,4.34,
THEATRES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,,,2.68,
THEATRES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,,,34.71,
FACILITIES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,1.80,
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,PFI CONTINGENT RENT NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"65,144.10",
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,INTEREST EXPENSE ON PFI FINANCE LEASE NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"201,518.82",
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,GAS,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"4,588.27",
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"29,390.49",
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"273,588.20",
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,145.82,
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,69.42,
PFI & HIT,Tameside Hospital NHS Foundation Trust,29-Oct-2015,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,,-10.01,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,0.54,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,3.69,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,29-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,,"39,514.24",
