Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184571,16.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184583,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184577,1.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,STAFF EXPENSES CONTROL,0000184577,21.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,92.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000184577,45.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000184571,119.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000184577,21.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-VEHICLE HIRE,STAFF EXPENSES CONTROL,0000184571,75.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000184583,55.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184566,225.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184583,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,69.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185185,291.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000185185,65.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - CATERING,PAYMENT FOR COAL AUTHORIT,0000184547,1915.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2011,TRAINING AND EDUCATION,CHIEF EXECUTIVE,PROF SER LRNG&DEV-STAFF TRNING,SOLACE,0000184536,475.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,10 HRS + SUBSISTENCE,CORPORATE AFFAIRS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184720,10.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,12 HOUR ALLOWANCE,CORPORATE AFFAIRS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184720,42.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,CORPORATE AFFAIRS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184720,19.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,CORPORATE AFFAIRS,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,220.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,FARES - PUBLIC TRANSPORT,CORPORATE AFFAIRS,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000184720,53.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185185,93.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184720,44.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,MILEAGE PAYMENTS,CORPORATE AFFAIRS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184720,75.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000184773,428.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,DURRANTS LIMITED,0000184781,1098.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,DURRANTS LIMITED,0000184782,209.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/10/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,PERSONNEL RLTD-STAFF SUBSCRPTN,HOLLIS UK PUBLIC RELATION,0000184891,161.10
