Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30.06.2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310005684,"£79,874.00",MEDICINE OPTIMISATION & IFR AERVICE APRIL & MAY 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010008065,"£2,888,896.71",BLOCK CONTRACT JUNE 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410041639,"£38,079.72",ESTIMATE Q4 2015/16,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410045096,"£53,062.17",BLOCK MAY 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410046608,"£33,097.11",QTR 4 ACTUAL ACTIVITY,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1490005080,"-£38,079.72",CREDIT FOR Q4 ESTIMATE,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014609,"£55,103.00",CONTRACT JUNE 2016 NHS111,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014638,"£801,432.00",INTERIM A & E JUNE 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014658,"£30,484.00",HART FUNDING JUNE 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014742,"£118,422.33",PTS EY&H CONTRACT JUNE 2016,
Department of Health,03F,30.06.2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0000730,"£14,716,665.00",SLA CONTRACT PAYMENT JUNE 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,981351,"£29,501.41",NON PTS SERVICES & PATHOLOGY FEE 01/05/16,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161703,"£654,604.00",ESTIMATED ANNUAL CONTRACT JUNE 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000231573,"£110,137.77",CARE IN THE COMMUNITY RECHARGE JUNE 2016,
Department of Health,03F,30.06.2016,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000231657,"£41,249.12",FNC RECHARGES 23/05/16 - 19/06/16,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,121599,"£45,716.40",NHS ACTIVITY FOR MONTH ENDED 30/04/2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,121682,"£61,659.23",FERTILITY SERVICES 31/05/16,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800093707,"£287,889.92",EQUIPMENT PURCHASES & ACTIVITY MAY 2016,
Department of Health,03F,30.06.2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1921,"£46,316.10","CHC 2941, 4100, 5094 & 3458 01/06/16 - 30/06/16",
Department of Health,03F,30.06.2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301000360,"£68,868.49",HULL CITY EA COSTS JUNE 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,LOUTH & DISTRICT MEDICAL SERVICES LTD,458,"£232,729.58",OLDER PEOPLE SPECIALIST CARE CO-ORDINATION SALARIES FROM JANUARY 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,LOUTH & DISTRICT MEDICAL SERVICES LTD,468,"£148,370.72",OLDER PEOPLE SPECIALIST CARE CO-ORDINATION SALARIES FROM JANUARY 2016 - MARCH 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,LOUTH & DISTRICT MEDICAL SERVICES LTD,49,"-£232,729.58",OLDER PEOPLE SPECIALIST CARE CO-ORDINATION SALARIES FROM JANUARY 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014589,"£300,000.00",JUNE 2016 CONTRACTUAL INCOME URGENT CARE,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014591,"£1,625,000.00",JUNE 2016 CONTRACTUAL INCOME INTEGRATED COMMUNITY ,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014593,"£109,616.66",CONTRACT VARIATION JUNE 2016 URGENT CARE,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014595,"£54,166.67",JUNE 2016 CONTRACTUAL INCOME  SEXUAL HEALTH SERVICES,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410014601,"£292,448.52",JUNE 2016 CONTRACTUAL INCOME DEPRESSION & ANXIETY,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014768,"£370,822.29",JUNE 2016 CONTRACTUAL INCOMEOUT OF SCOPE,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410014781,"£68,920.56",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET EXP APRIL 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410014784,"£125,632.39",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET EXP MARCH 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014820,"£370,822.29",MAY 2016 CONTRACTUAL INCOMEOUT OF SCOPE,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014821,"£27,671.62",TELEPHONE RECHARGES FROM CSU 15/16 FINAL BALANCE,
Department of Health,03F,30.06.2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410014831,"£52,316.28",NIGHT SITS APRIL 2016,
Department of Health,03F,30.06.2016,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90212357,"£177,572.40",SERVICES RECEIVED YORKSHIRE & HUMBER CCG'S,
Department of Health,03F,30.06.2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,EASTR09,"£71,561.00",HULL CITY EA COSTS MAY 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,JUNE16HCCGHS025,"£136,788.16",FIXED PAYMENT JUNE 2016 MSK,
Department of Health,03F,30.06.2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000229680,"£110,137.77",CARE IN THE COMMUNITY RECHARGE MAY 2016,
Department of Health,03F,30.06.2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,"£46,600.00",CONTRACT FUNDING 2016/17,
