A3131 - Expenditure Over Threshold,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note : This Report has a prompt “Threshold Amount” which is mapped to AP Invoice Total Amount i.e. Invoice Header Amount (column Threshold Amount is not available in the report output). The AP Amount column on the report represents the invoice distribution amount (which is not Invoice header amount).,,,,,,,,,
Time run: 02/10/2017 14:17:56,,,,,,,,,
,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,18695029,"192,500.40 ",193674175,029
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,18854959,"25,813.82 ",879108291,FSEN0917077
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,18978129,"(28,835.64)",879108291,HT000031960
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,18978130,"53,795.18 ",879108291,HT000031961
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,18978130,"2,769.20 ",879108291,HT000031961
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,18685985,"78,541.00 ",,8442135
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Hcare Srv Rec NHS Trust-Prior Year,REABLEMENT,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,18827764,"43,132.22 ",,41424670
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Hcare Srv Rec NHS Trust-Prior Year,REABLEMENT,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,18827785,"44,535.36 ",,41425307
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,18660768,"136,278.00 ",,304935
Department of Health,NHS East & North Hertfordshire CCG,30/09/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,18685956,"45,853.00 ",,0000089618
