TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND. To be submitted to: richard.barlow@education.gsi.gov.uk,,,,,,,
Organisation - TRAINING AND DEVELOPMENT AGENCY,,,,,,,
Month - October 2011,,,,,,,
Dept,Entity,Date,Expense Type,Area,Supplier,Transaction,Amount
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,2 SCHOOLS CONSORTIUM,60008220,"256,000.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,ANGLIA RUSKIN UNIVERSITY,60008218,"201,469.26"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,ANGLIA RUSKIN UNIVERSITY,60008232,"42,000.00"
Department For Education,Training & Development Agency For Schools,20/10/2011,Train To Teach Event,MARKETING & COMMS,ARNOLD KLP,2911,"55,830.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BATH SPA UNIVERSITY,60008237,"239,117.20"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BATH SPA UNIVERSITY,60008239,"52,520.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BIRMINGHAM CITY UNIVERSITY,60008252,"454,163.82"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BIRMINGHAM CITY UNIVERSITY,60008254,"35,576.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BIRMINGHAM CITY UNIVERSITY,60008260,"62,510.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BIRMINGHAM COLLEGE OF FOOD TOURISM & CRE,60008261,"25,987.24"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BISHOP GROSSETESTE COLLEGE,60008264,"293,396.56"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BRADFORD COLLEGE,60008282,"229,728.48"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BRADFORD COLLEGE,60008283,"26,416.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BRADFORD COLLEGE,60008284,"66,296.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BRUNEL UNIVERSITY,60008297,"206,216.26"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BRUNEL UNIVERSITY,60008299,"45,752.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,BURTON MEADOW SCHOOL,60008304,"27,000.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CANTERBURY CHRIST CHURCH UNIVERSITY,60008312,"732,362.93"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CANTERBURY CHRIST CHURCH UNIVERSITY,60008313,"48,830.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CANTERBURY CHRIST CHURCH UNIVERSITY,60008314,"97,280.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CANTERBURY CHRIST CHURCH UNIVERSITY,60008316,"128,113.90"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,CANTERBURY CHRIST CHURCH UNIVERSITY,60008323,"166,520.00"
Department For Education,Training & Development Agency For Schools,06/10/2011,Online Recruitment Activity,MARKETING & COMMS,CENTRAL OFFICE OF INFORMATION,2654,"28,400.15"
Department For Education,Training & Development Agency For Schools,20/10/2011,Online Recruitment Activity,MARKETING & COMMS,CENTRAL OFFICE OF INFORMATION,2743,"83,439.13"
Department For Education,Training & Development Agency For Schools,27/10/2011,Online Recruitment Activity,MARKETING & COMMS,CENTRAL OFFICE OF INFORMATION,3102,"26,900.46"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CHILTERN TRAINING GROUP,60008329,"27,324.86"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,CORNWALL SCITT,60008350,"30,096.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EAST MIDLANDS PARTNERSHIP,60008391,"43,787.25"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDGE HILL UNIVERSITY,60008402,"1,155,180.10"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDGE HILL UNIVERSITY,60008403,"81,372.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDGE HILL UNIVERSITY,60008404,"203,856.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDGE HILL UNIVERSITY,60008405,"172,209.37"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDUCATION MANAGEMENT DIRECT LTD,60008414,"98,990.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,E-QUALITAS PROFESSIONAL SERVICES LTD,60008418,"55,434.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,ESSEX COUNTY COUNCIL,60008422,"70,777.85"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,GLOUCESTERSHIRE INITIAL TEP,60008438,"44,545.50"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,GOLDSMITH COLLEGE,60008444,"266,040.68"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,GOLDSMITH COLLEGE,60008446,"74,632.00"
Department For Education,Training & Development Agency For Schools,11/10/2011,Grant Payments,IMPROVEMENT & TRAINING,INSTITUTE OF EDUCATION U.O.L.,2390,"46,550.00"
Department For Education,Training & Development Agency For Schools,06/10/2011,Research Funding,IMPROVEMENT & TRAINING,INSTITUTE OF EDUCATION U.O.L.,2476,"44,878.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,INSTITUTE OF EDUCATION U.O.L.,60008458,"482,973.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,INSTITUTE OF EDUCATION U.O.L.,60008459,"113,272.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,INSTITUTE OF EDUCATION U.O.L.,60008461,"40,648.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,INSTITUTE OF EDUCATION U.O.L.,60008467,"184,000.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KEELE UNIVERSITY,60008473,"104,653.96"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KEELE UNIVERSITY,60008474,"46,832.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KEELE UNIVERSITY,60008475,"110,432.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KENT LEA,60008479,"25,242.45"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,"King's College, London",60008487,"115,589.16"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,"King's College, London",60008488,"91,273.42"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KINGSTON UNIVERSITY,60008495,"240,454.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,KINGSTON UNIVERSITY,60008496,"41,202.08"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LANCASHIRE CONSORTIUM,60008500,"46,030.35"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LEEDS METROPOLITAN UNIVERSITY,60008505,"341,993.62"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LEEDS TRINITY UNIVERSITY COLLEGE,60008512,"304,005.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LEEDS TRINITY UNIVERSITY COLLEGE,60008514,"57,808.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LIVERPOOL HOPE UNIVERSITY,60008523,"607,111.22"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LIVERPOOL HOPE UNIVERSITY,60008525,"85,680.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Liverpool John Moores Univ,60008532,"402,621.74"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Liverpool John Moores Univ,60008533,"81,634.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Liverpool John Moores Univ,60008534,"148,640.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,Liverpool John Moores Univ,60008539,"25,760.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON METROPOLITAN UNIVERSITY,60008542,"160,563.28"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON METROPOLITAN UNIVERSITY,60008543,"31,180.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON METROPOLITAN UNIVERSITY,60008544,"68,160.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON METROPOLITAN UNIVERSITY,60008546,"38,420.85"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON NORTH CONSORTIUM (MIDDLESEX UNI),60008551,"89,854.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON SOUTH BANK UNIVERSITY,60008556,"138,141.46"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON SOUTH BANK UNIVERSITY,60008559,"59,903.20"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LOUGHBOROUGH UNIVERSITY,60008567,"49,439.90"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LOUGHBOROUGH UNIVERSITY,60008569,"35,300.60"
Department For Education,Training & Development Agency For Schools,24/10/2011,Business Rates,FACILITIES,MANCHESTER CITY COUNCIL,2915,"28,337.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MANCHESTER METROPOLITAN UNIVERSITY,60008576,"859,536.94"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MANCHESTER METROPOLITAN UNIVERSITY,60008577,"42,102.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MANCHESTER METROPOLITAN UNIVERSITY,60008578,"175,760.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MANCHESTER METROPOLITAN UNIVERSITY,60008579,"70,200.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MARCHES CONSORTIUM SCITT,60008583,"44,545.50"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MIDDLESEX UNIVERSITY,60008601,"279,040.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MIDDLESEX UNIVERSITY,60008603,"41,072.00"
Department For Education,Training & Development Agency For Schools,17/10/2011,Teacher Information Line,ITT RECRUITMENT,MM TELEPERFORMANCE LTD,2852,"26,927.76"
Department For Education,Training & Development Agency For Schools,17/10/2011,Teacher Information Line,ITT RECRUITMENT,MM TELEPERFORMANCE LTD,2854,"37,300.80"
Department For Education,Training & Development Agency For Schools,17/10/2011,Teacher Information Line,ITT RECRUITMENT,MM TELEPERFORMANCE LTD,2855,"130,058.21"
Department For Education,Training & Development Agency For Schools,11/10/2011,Research Funding,IMPROVEMENT & TRAINING,NARIC UK,2739,"48,829.20"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NEWMAN COLLEGE,60008619,"362,857.62"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NEWMAN COLLEGE,60008620,"26,430.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NEWMAN COLLEGE,60008621,"52,048.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NEWMAN COLLEGE,60008623,"59,888.95"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NEWMAN COLLEGE,60008631,"36,190.00"
Department For Education,Training & Development Agency For Schools,20/10/2011,Transition To Teaching Programme,ITT RECRUITMENT,NORD ANGLIA EDUCATION PARTNERSHIPS LTD,2895,"129,896.14"
