"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"FV/2015/0785/","APPCOND","02/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0834/","ACCEPTED","02/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0835/","ACCEPTED","02/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0841/","ACCEPTED","02/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0842/","ACCEPTED","03/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0772/","APPROVED","04/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0779/","APPROVED","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0814/","APPCOND","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0848/","ACCEPTED","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0849/","ACCEPTED","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0850/","ACCEPTED","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0851/","ACCEPTED","07/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0762/","APPCOND","08/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0778/","APPCOND","08/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0856/","ACCEPTED","08/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0836/","APPCOND","09/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0799/","APPROVED","10/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0741/","APPCOND","14/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0833/","APPCOND","14/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0864/","ACCEPTED","14/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0873/","ACCEPTED","15/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0862/","APPROVED","16/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0737/","APPCOND","18/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0797/","APPCOND","18/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0721/","ACCEPTED","18/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0758/","APPCOND","21/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0744/","APPCOND","23/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0752/","APPCOND","23/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0878/","ACCEPTED","23/12/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
