Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Transport and Travel,1919 TAXI & MINIBUSES,Childrens & Educational Services,Leasing /Transport Hire,30/05/2017,850.00
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,03/05/2017,"1,073.00"
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,03/05/2017,"2,363.71"
Transport and Travel,A AND G Duncan - Taxis,Childrens & Educational Services,Leasing /Transport Hire,08/05/2017,807.50
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,17.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,27.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,28.24
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,21.18
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,462.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,408.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,483.61
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,349.47
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,"1,132.20"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,958.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,967.22
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,744.83
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,"1,128.80"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,979.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,"1,203.73"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,970.75
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,"1,084.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,10/05/2017,941.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,"1,129.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,24/05/2017,988.40
Trainer / Facilitator,A K D Training Solutions Ltd,Childrens & Educational Services,Professional Fees,03/05/2017,"1,747.80"
Social Care Services,Abacus Homecare,Adult Social Care,Information and Communications Technology,10/05/2017,-653.58
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,27.20
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,13.60
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,28.24
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,14.12
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,91.80
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,214.20
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,275.34
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,222.39
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,200.60
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,166.60
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,165.91
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,225.92
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,"4,450.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,"3,906.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,"4,581.94"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,"3,558.24"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,"8,619.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,10/05/2017,"7,575.20"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,"8,729.69"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,24/05/2017,"6,947.04"
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Childrens & Educational Services,Printing and Photocopying,25/05/2017,884.85
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Environmental & Regulatory Services,Printing and Photocopying,05/05/2017,"1,476.40"
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Environmental & Regulatory Services,Printing and Photocopying,05/05/2017,637.88
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Adult Social Care,Office Expenses,03/05/2017,691.45
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,10/05/2017,360.40
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,10/05/2017,319.60
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,24/05/2017,377.71
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,24/05/2017,307.11
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,10/05/2017,731.00
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,10/05/2017,727.60
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,24/05/2017,854.26
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,24/05/2017,758.95
Mobility Equipment / Supplies,Ability Aware Limited,Adult Social Care,Furniture and Equipment,30/05/2017,521.21
Healthcare Supplies,ABLE 2,Adult Social Care,Agency Staff,04/05/2017,"10,211.50"
Healthcare Supplies,ABLE 2,Adult Social Care,Agency Staff,24/05/2017,"7,446.50"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,09/05/2017,"1,750.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,11/05/2017,"1,400.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,26/05/2017,"1,750.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,19/05/2017,"1,575.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,22/05/2017,"1,260.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,22/05/2017,"1,260.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,22/05/2017,"1,050.00"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,22/05/2017,950.00
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,30/05/2017,"-1,501.52"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,30/05/2017,"2,832.00"
Social Care Services,About Me Care and Support Ltd,Adult Social Care,Care Payments,17/05/2017,820.53
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,"1,788.40"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,"1,570.80"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/05/2017,13.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,"1,881.49"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,"1,553.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,"5,164.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,"4,403.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/05/2017,326.40
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,"5,422.08"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,"4,670.19"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,"1,139.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,958.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,"1,133.13"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,967.22
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,153.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,136.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/05/2017,47.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,130.61
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,109.43
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,27.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,34.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,42.36
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,35.30
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,238.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,197.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,247.10
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,211.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,482.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,10/05/2017,414.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/05/2017,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,388.30
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,24/05/2017,420.07
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,115.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,102.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,120.02
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,116.49
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,"1,802.00"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,"1,638.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,"1,941.50"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,"1,715.58"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,707.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,625.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,695.41
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,430.66
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,224.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,180.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,225.92
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,194.15
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,"2,747.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,"2,397.00"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,"2,873.42"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,"2,488.65"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,81.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,10/05/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,84.72
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,24/05/2017,70.60
Recruitment / Staffing,Access Computer Consulting PLC,Central Support Costs,Agency Staff,30/05/2017,"4,665.76"
Construction / Building Services,ACORN LIGHTING SERVICES LTD,Highways & Transport Services,Repairs and Maintenance,31/05/2017,"6,651.05"
Counselling Services,Acorn Recovery Projects,Adult Social Care,Third party payments - Private/Voluntary Sector,17/05/2017,"2,700.00"
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,19/05/2017,906.92
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,19/05/2017,906.92
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,19/05/2017,906.92
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,30/05/2017,-972.00
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,30/05/2017,"2,716.00"
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,30/05/2017,620.20
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/05/2017,"1,242.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/05/2017,"1,521.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/05/2017,354.00
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/05/2017,708.00
Construction / Building Services,ADAPTATION BUILDING SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,12/05/2017,"4,371.00"
Professional / Trade Body,ADCS Ltd,Childrens & Educational Services,Professional Fees,12/05/2017,"2,351.25"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,-505.20
