Newcastle City Council Invoices over £250 paid in July 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Chief Executives,CD - Mansion House               ,Supplies & Services,41480,3663,5947756,Revenue,1FN02,Mansion House                F,496.19 ,,,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,41474,3663,5939308,Revenue,1KF07,BANQUETING SUITE             K,292.00 ,,,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,41477,3663,5933101,Revenue,1KF07,BANQUETING SUITE             K,359.80 ,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,26/07/2013, BRITANNIA GEORGE BERNARD SHAW,5945343,Revenue,1MK56,Dom Care Other - Nat Ass ActsM,280.34 ,,,,,,,,,,,
Environment & Regeneration,NS: Repairs & Maintenance  ,Premises,41467, PAT ROBSON &CO,5923642,Revenue,1DE49,i4- Quayside NEC             K,327.76 ,,,,,,,,,,,
Adult & Culture,NS: Admin & Finance        ,Capital Expenditure,05/07/2013, THOMPSONS OF PRUDHOE LTD,5903077,Capital,2WW01,Adult And Culture Capital    M,"35,900.00 ",,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,41485, THOMPSONS OF PRUDHOE LTD,5954193,Revenue,1KEKL,Env Impsrb                   K,330.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,41484, THOMPSONS OF PRUDHOE LTD,5954118,Revenue,1KEKL,Env Impsrb                   K,330.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,41485, THOMPSONS OF PRUDHOE LTD,5941206,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,559.13 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,41477, THOMPSONS OF PRUDHOE LTD,5894478,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,679.66 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,41470, THOMPSONS OF PRUDHOE LTD,5880966,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,958.12 ,,,,,,,,,,,
