RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
20,Chicken Salad products due to possible presence of Campylobacter.,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2017/16342/tesco-recalls-chicken-salad-campylobacter-in-products,2017-07-12
21,Stabilised Aerobic Oxygen - due to the presence of an unauthorised food additive.,Recalled,The presence of the unauthorised food additive sodium chlorite may cause irritation if consumed.,https://www.food.gov.uk/news-updates/news/2017/16348/healthaid-recalls-healthaid-concentrated-air-oxy-stabilised-aerobic-oxygen-due-to-the-presence-of-an-unauthorised-food-additive,2017-07-13
22,Various products recalled - due to inadequate procedures to control Clostridium botulinum.,Recalled,Potentially unsafe due to risk from poor hygiene.,https://www.food.gov.uk/news-updates/news/2017/16353/macsween-of-edinburgh-ltd-recalls-various-products-because-of-inadequate-procedures-to-control-clostridium-botulinum,2017-07-14
23,Two Cured Ham products  - due to incorrect ?Use by? dates.,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2017/16430/houghton-hams-recalls-two-of-its-northamptonshire-cured-ham-products-due-to-incorrect-use-by-dates,2017-08-10
24,Various baked goods - because the products may contain glass fragments.,Recalled,Physical contamination - presence of glass fragments.,https://www.food.gov.uk/news-updates/news/2017/16431/xx,2017-08-10
25,UPDATE: Various types of its pates and rillettes because of a failure of procedures to control Clostridium botulinum.,Recalled,Potentially unsafe due to risk from poor hygiene.,https://www.food.gov.uk/news-updates/news/2017/16438/cornish-charcuterie-recalls-various-types-of-its-pates-and-rillettes-because-of-a-failure-of-procedures-to-control-clostridium-botulinum,2017-08-15
26,Pots of Pork (two flavours)  - due to inadequate procedures to control Clostridium botulinum.,Recalled,Potentially unsafe due to risk from poor hygiene.,https://www.food.gov.uk/news-updates/news/2017/16441/paxton-whitfield-recalls-both-flavours-of-its-pots-of-pork-because-of-a-failure-of-procedures-to-control-clostridium-botulinum,2017-08-16
27,Various pates and rillettes - due to inadequate procedures to control Clostridium botulinum.,Recalled,Potentially unsafe due to risk from poor hygiene.,https://www.food.gov.uk/news-updates/news/2017/16444/chatsworth-house-recalls-various-types-of-its-pates-and-rillettes-because-of-a-failure-of-procedures-to-control-clostridium-botulinum,2017-08-17
28,Tablet products  - because they may contain small pieces of metal.,Recalled,Physical contamination - presence of metal pieces.,https://www.food.gov.uk/news-updates/news/2017/16474/athole-tablet-ltd-recalls-tablet-products-because-they-may-contain-small-pieces-of-metal,2017-08-31
28,Whole Chillies Extra Hot - due to the levels of aflatoxins in excess of legal limits.,Recalled,Chemical contamination - can cause a risk to health and the levels in this product exceed limits.,https://www.food.gov.uk/news-updates/news/2017/16475/trs-wholesale-ltd-recalls-chillies-aflatoxins,2017-08-31
30,Various Food supplements - due to the presence of salmonella. ,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2017/16479/myprotein-recalls-products-due-to-presence-of-salmonella,2017-09-01
31,Four varieties chocolate bars because they may contain pieces of plastic.,Recalled,Physical contamination - presence of  pieces of plastic.,https://www.food.gov.uk/news-updates/news/2017/16564/waitrose-recalls-four-varieties-of-waitrose-1-chocolate-bars-because-they-may-contain-pieces-of-plastic,2017-09-27
32,Beef and sweet potato stew - due to  a small piece of plastic has been found in one product,Recalled,Physical contamination - presence of  a piece of plastic.,https://www.food.gov.uk/news-updates/news/2017/16584/asda-recalls-little-angels-organic-beef-stew,2017-09-27
