ICT Approvals,,,,,,,,,,,,,,,,,,,,,,,
NIL,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Propert Approvals,,,,,,,,,,,,,,,,,,,,,,,
NIL,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Recruitment Approvals,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Basis for expenditure approval,Project name,Value (£M),Total Value Requested (£M),Total Value Approved (£M),Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of update
,,,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,
Cabinet Office,Cabinet Office,"Combination of specialist skills not available in the Civil Service, immediate resource required and not readily available from across the Civil Service, plus commitment to providing employability for young people for entry grades via the Graduate Intern and apprentice scheme. ",Not applicable,,£3.54 Million,£3.54 Million,,,10,16,0,18,20,7,10,16,0,18,20,7,91,91,30.01.13
,Government Procurement Services,"Combination of specialist skills not available in the Civil Service, immediate resource required and not readily available from across the Civil Service. ",Not applicable,,£0.83 Million,£0.83 Million,,,9,0,2,3,6,0,9,0,2,3,6,0,91,91,30.01.13
,,,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Approvals,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Project name,Basis for expenditure approval,Value (£M),Total Value requested (£M),Total Value Approved (£M),Basis for Exception,Approval month,Date of update,,,,,,,,,,,,,,
Cabinet Office,Office for Civil Society,Join In,Where there is robust evidence that marketing and advertising delivers measurable outcomes that meet government objectives,,1857000.00,1035000.00,,,14.12.12,,,,,,,,,,,,,,
Cabinet Office,National Citizen Service,National Citizen Service,Where marketing and advertising is critical to the effective running of the Government,," £2,601,871.00 "," £2,601,871.00 ",,,19.12.12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Consultancy Approvals,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Project name,Basis for expenditure approval,Value (£M),Total Value requested (£M),Total Value Approved (£M),Basis for Exception,Approval month,Date of update,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,Crispin Ellison Contract,No available expertise in-house,,"£35,750","£35,750",,,Nov-12,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,Quality Assurance of Implementation and Simplifying Governance,No available expertise in-house,,"£52,706","£52,706",,,Nov-12,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,Next Generation Shared Services Programme Single Oracle ERP Platform Project ,No available expertise in-house,,"£96,500","£96,500",,,Oct-12,,,,,,,,,,,,,,
