Newcastle City Council Invoices over £250 paid in May 2013,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,
Chief Executives,CD - Mansion House               ,Supplies & Services,20/05/2013,3663,5880035,Revenue,1FN02,Mansion House                F,261.31 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,13 FERGUSONS LANE,5873976,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,18 SEA VIEW VILLAS,5873915,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,16/05/2013,1ST LEMINGTON BROWNIES,5881578,Revenue,1KN51,Lemington Ward               F,370.00 ,,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,14/05/2013,25TH BROWNIE PACK,5879078,Revenue,1KN30,Blakelaw Ward                F,"1,110.69 ",,,,,,,,,,,,
Childrens Services,Schools Payment Agency                 ,Supplies & Services,09/05/2013,2SIMPLE SOFTWARE LTD,5875691,Revenue,1E+97,Bridgewater Centre           E,"1,500.00 ",,,,,,,,,,,,
Childrens Services,EDUCATION                              ,Third Party Payments,14/05/2013,A WILDERNESS WAY,5877222,Revenue,1MC02,IND Sector Placements        E,"3,500.00 ",,,,,,,,,,,,
Childrens Services,EDUCATION                              ,Third Party Payments,17/05/2013,A WILDERNESS WAY,5881659,Revenue,1MC02,IND Sector Placements        E,"3,500.00 ",,,,,,,,,,,,
Childrens Services,EDUCATION                              ,Third Party Payments,02/05/2013,A WILDERNESS WAY,5871410,Revenue,1MC02,IND Sector Placements        E,"3,500.00 ",,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/05/2013,A&J KEITH LTD,5877349,Revenue,1KBRM,Sub Contractors R & M        K,"90,216.29 ",,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,07/05/2013,A&S LOCKSMITHS,5873149,Revenue,1FRAP,Area West Regen Centre       F,364.24 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/05/2013,A&S LOCKSMITHS,5875915,Revenue,1KE69,Street Sweep City Centre CLSGK,523.62 ,,,,,,,,,,,,
