Department,Entity,Supplier Name,Payment Date,Transaction Number,Expense Area,Expense Type,Amount (Excluding VAT)
FCO,FCOS,IBM UNITED KINGDOM LTD,01/07/2014,165915,Technology,IS Software Maintenance,54714.19
FCO,FCOS,TECTON LTD,1/29/2014,168744,Security and Property,Security Equipment,35141
FCO,FCOS,OSI CONTRACTS LTD,1/28/2014,169762,Security and Property,Building Maintenance,32936
FCO,FCOS,AIR PATROL CORP,1/15/2014,170618,Technology,IS Hardware,41291.98
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1/30/2014,170647,Technology,Contingent Labour,25881.25
FCO,FCOS,COMPUTACENTER (UK) LTD,1/23/2014,171504,Technology,IS Hardware,43924.18
FCO,FCOS,3M UNITED KINGDOM PLC,01/09/2014,171610,Technology,IS Hardware,149344
FCO,FCOS,3M UNITED KINGDOM PLC,01/09/2014,171611,Technology,IS Hardware,239812
FCO,FCOS,3M UNITED KINGDOM PLC,1/20/2014,171612,Technology,IS Hardware,128250
FCO,FCOS,ASHDALE ENGINEERING UK LTD,01/09/2014,171733,Security and Property,Professional Services,37205
FCO,FCOS,WYG MANAGEMENT SERVICE LTD - WHITE YOUNG GREEN,1/14/2014,172179,Security and Property,Building Works,27057.5
FCO,FCOS,SOFTWARE AG (UK) LIMITED,1/14/2014,172198,Technology,IS Software,89333.42
FCO,FCOS,DHL GLOBAL FORWARDING UK LTD,1/29/2014,172234,Service and Logistics,Freight and Transport,480036.86
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1/15/2014,172352,Technology,Contingent Labour,29544.13
FCO,FCOS,INTERQUEST GROUP UK LTD,1/23/2014,173061,Security and Property,Contingent Labour,29304
FCO,FCOS,HEWLETT PACKARD LTD,1/31/2014,174006,Technology,IS Hardware,31480
