Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018971,27358,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Reasle,13/09/2013,515.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14015907,157786,A & E Fire Equipment Limited,R2042-HRA100,R & M of Build Fire Systems,13/09/2013,1029.65
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019112,160073,A & E Fire Equipment Limited,R2042-HRA100,R & M of Build Fire Systems,20/09/2013,863.14
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019035,160327,A & E Fire Equipment Limited,C1107-CAH015,Building Works,13/09/2013,3870.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019034,160337,A & E Fire Equipment Limited,C1107-CAH014,Building Works,13/09/2013,658.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019584,160444,A & E Fire Equipment Limited,R2004-ADB103,R & M of Build Programmed,27/09/2013,3330.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019585,160566,A & E Fire Equipment Limited,R2083-CUL112,R&M of Build - Routine,27/09/2013,658.22
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019097,2010176,Activist Group Limited (Formerly Eightytwenty Insight LG),R4411-SUP104,Consultancy Fees,20/09/2013,1259.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019401,24834325-15,ADT Fire & Security plc,R2004-CUL117,R & M of Build Programmed,27/09/2013,4700.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018771,47137,AES Pump Limited,R2043-REC111,R & M of Build Drain Cleaning,13/09/2013,835.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019637,47392,AES Pump Limited,R2004-REC111,R & M of Build Programmed,27/09/2013,1975.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019408,54241,Alba/SB Pools Limited,R2082-REC111,R&M of Plant - reactive,27/09/2013,771.25
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019485,54259,Alba/SB Pools Limited,R4401-REC111,Services - Fees and Charges,27/09/2013,1275.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019063,57928,Alpha Colour Printers Limited,R4317-CUL102,Non Staff Advertising,20/09/2013,8101.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019452,26855,Alpha Response Print & Mail Limited,R4300-ELE001,Printing - Services,27/09/2013,552.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018916,1068,AMPM247.com Limited,C1100-CAP106,Construction,13/09/2013,4571.55
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14013612,1928,AMPM247.com Limited,C1100-CAP106,Construction,13/09/2013,23726.86
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019128,824,Anderson Civil Engineering UK Limited,R2078-OPS122,R&M of Build - external structures,20/09/2013,590.76
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019128,824,Anderson Civil Engineering UK Limited,R2078-OPS122,R&M of Build - external structures,20/09/2013,2569.24
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019529,826,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,27/09/2013,971.92
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018811,11263,Artful Limited,R4317-DEV001,Non Staff Advertising,13/09/2013,1902.16
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019009,1615,ArthurSteenHorneAdamsonLtd,R4317-CUL107,Non Staff Advertising,13/09/2013,5125.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019307,INV-131193,Artifax Software Limited,R4531-CUL102,IT - Purchase of Software,27/09/2013,2092.30
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018941,3131,Balcarras School,R4401-REC007,Services - Fees and Charges,13/09/2013,2320.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019412,34543,Bentley Fielden Limited,R2004-CUL112,R & M of Build Programmed,27/09/2013,7480.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018989,34004,Berforts Information Press Limited (Touchmedia),R4317-CUL102,Non Staff Advertising,20/09/2013,900.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018786,79019,Berman Guedes Stretton Architects Limited,C6002-CAP121,Fees - Agency,13/09/2013,2000.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019038,47SI 650317,Brenntag UK Limited,R4007-REC101,Materials - Chemicals,20/09/2013,1106.49
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019098,3426,C Mawdsley t/a Arbor Tree Care,R2070-HRA110,Tree Work,20/09/2013,610.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019163,416,C P W Daniell Limited,R4401-FIE040,Services - Fees and Charges,27/09/2013,6500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019113,13/02/1973,Castle house Heritage Consulting Limited,R4400-PLP004,Services - Professional Fees,20/09/2013,1120.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018979,inv1152,CDC Technical Services Limited,R4003-CCT001,Tools & Equipment - R & M,27/09/2013,1535.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019661,119,Cheltenham Café Co. LLP,R4401-REC001,Services - Fees and Charges,27/09/2013,768.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019175,11,Cheltenham Housing Aid Centre,R6280-HOM001,Grants,20/09/2013,10650.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018753,cbc/mp/230813,Cheltenham Tree Services Limited,R2070-PLP006,Tree Work,13/09/2013,560.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019075,8865,Chinnick Theatre Services,R4000-CUL102,Equipment Purchase,13/09/2013,1087.47
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019032,3086826,CIPFA Business Limited,R1652-COR001,Training Fees (External),13/09/2013,1950.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019352,3087271,CIPFA Business Limited,R1652-COR001,Training Fees (External),27/09/2013,1950.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018200,C/IC118599,Civica UK Limited,R4531-SUP008,IT - Purchase of Software,06/09/2013,8550.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14018523,C/RB118781,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,06/09/2013,4070.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019415,C/RB119308,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,27/09/2013,4500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019279,530222,Comensura Limited,R1100-ADB101,Agency Staff,27/09/2013,772.85
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019279,530222,Comensura Limited,R1100-HOM001,Agency Staff,27/09/2013,899.10
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019265,530390,Comensura Limited,R1100-HOM001,Agency Staff,27/09/2013,899.10
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019265,530390,Comensura Limited,R1100-CPK001,Agency Staff,27/09/2013,1471.68
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14019265,530390,Comensura Limited,R1100-ADB101,Agency Staff,27/09/2013,603.36
