Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount
HMRC,VOA,07/10/2015,Royal Mail Postage,Corporate,ROYAL MAIL,1900018487,"-£107,553.46"
HMRC,VOA,07/10/2015,IT equipment & configuration,Corporate,HP Inc. UK Limited,5100003329,"-£166,680.00"
HMRC,VOA,09/10/2015,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100003405,"-£120,532.20"
HMRC,VOA,13/10/2015,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,1700001136,"£500,180.99"
HMRC,VOA,13/10/2015,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100003435,"-£88,813.20"
HMRC,VOA,13/10/2015,Training,Corporate,CAPITA BUSINESS SERVICES LTD,5100003447,"-£30,276.58"
HMRC,VOA,13/10/2015,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,5100003448,"-£1,071,050.99"
HMRC,VOA,13/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003452,"-£435,336.83"
HMRC,VOA,13/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003453,"-£434,847.39"
HMRC,VOA,15/10/2015,Service Charge,Corporate,NATIONAL ASSEMBLY FOR WALES,5100003521,"-£47,697.32"
HMRC,VOA,15/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003536,"-£62,975.61"
HMRC,VOA,16/10/2015,IT services,Corporate,Software Box limited,5100003554,"-£33,845.72"
HMRC,VOA,16/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003588,"-£44,112.32"
HMRC,VOA,19/10/2015,Network charges,Corporate,TNT UK LTD,5100003593,"-£52,048.54"
HMRC,VOA,19/10/2015,Training,Corporate,ROYAL AGRICULTURAL UNIVERSITY,5100003596,"-£36,800.00"
HMRC,VOA,20/10/2015,Network & communications,Corporate,Cable-Talk Comms Ltd,5100003646,"-£30,824.47"
HMRC,VOA,23/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003793,"-£56,588.85"
HMRC,VOA,23/10/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003795,"-£56,384.13"
HMRC,VOA,23/10/2015,Accommodation costs,Corporate,Health and Safety Executive,5100003796,"-£84,054.00"
HMRC,VOA,23/10/2015,Accommodation costs,Corporate,Health and Safety Executive,5100003797,"-£84,054.00"
HMRC,VOA,23/10/2015,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100003798,"-£35,790.78"
HMRC,VOA,26/10/2015,Communications,Corporate,MAIN-TEL (NE) LTD,5100003813,"-£33,801.28"
HMRC,VOA,26/10/2015,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100003823,"-£215,689.20"
HMRC,VOA,28/10/2015,IT services,Corporate,Software Box limited,5100003886,"-£78,249.79"
HMRC,VOA,28/10/2015,Insurance,Corporate,Willis Limited,5100003903,"-£86,355.20"
HMRC,VOA,29/10/2015,Business rates,Corporate,COLCHESTER BC 65981916,5100003911,"-£32,776.00"
HMRC,VOA,29/10/2015,Business rates,Corporate,COLCHESTER BC 65981916,5100003912,"-£33,524.00"
HMRC,VOA,30/10/2015,Service Charge,Corporate,HMRC - (PAY CONT),1900022074,"-£4,500,000.00"
HMRC,VOA,02/11/2015,Car hire,Corporate,Enterprise Rent-a-Car,1900022077,"-£27,783.90"
HMRC,VOA,02/11/2015,IT equipment & configuration,Corporate,HP Inc. UK Limited,5100003909,"-£97,230.00"
HMRC,VOA,02/11/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100003995,"-£1,097,492.64"
,,,,,,,
