CPS outcomes by principal offence category ThamesValley,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.00%,0,0.00%
B Offences Against The Person,252,72.60%,95,27.40%
C Sexual Offences,17,63.00%,10,37.00%
D Burglary,42,76.40%,13,23.60%
E Robbery,17,85.00%,3,15.00%
F Theft And Handling,377,91.50%,35,8.50%
G Fraud And Forgery,36,87.80%,5,12.20%
H Criminal Damage,76,89.40%,9,10.60%
I Drugs Offences,142,95.90%,6,4.10%
J Public Order Offences,71,80.70%,17,19.30%
K All Other Offences (excluding Motoring),156,80.40%,38,19.60%
L Motoring Offences,695,89.30%,83,10.70%
Admin Finalisations,0,0.00%,48,100.00%
TOTAL,"1,883",83.90%,362,16.10%
