Date,Supplier Name,Transaction Amount
01/02/12,ADVANCE SEATING,£645.48
01/02/12,MANPOWER PLC*,"£10,156.00"
01/02/12,T/A OLE-SERENI,£693.04
02/02/12,AIRPORT HOTEL LLC,£556.82
02/02/12,DFS MIDDLE EAST FZE,£551.09
02/02/12,INSIGHT DIRECT INT,£724.32
06/02/12,HOLIDAYAUTO,£545.44
06/02/12,INSIGHT DIRECT INT,"£1,428.00"
07/02/12,PCPM LTD,£549.60
08/02/12,WHITEHALL & INDUST,£540.00
09/02/12,BANNER BUSINESS SUPPL*,"£1,124.78"
09/02/12,GLOBAL NISSAN HATFIEL,£535.39
09/02/12,Small Island Development Conference,£596.00
10/02/12,MANPOWER PLC*,"£12,639.76"
13/02/12,MANPOWER PLC*,"£10,088.48"
16/02/12,WWW.NATCEN.AC.UK,£650.00
20/02/12,COMPUTACENTER (UK) LTD,"£4,095.00"
20/02/12,COMPUTACENTER (UK) LTD,"£1,464.00"
20/02/12,COMPUTACENTER (UK) LTD,"£1,365.00"
20/02/12,COMPUTACENTER (UK) LTD,£880.00
20/02/12,COMPUTACENTER (UK) LTD,£750.00
20/02/12,COMPUTACENTER (UK) LTD,£630.00
21/02/12,QA-IQ LTD,"£1,026.00"
21/02/12,QA-IQ LTD,"£1,026.00"
22/02/12,COMPUTACENTER (UK) LTD,"£3,953.74"
23/02/12,DEVELOPMENT PROCESSES,"£1,258.80"
23/02/12,MANPOWER PLC*,"£8,437.27"
23/02/12,WP-GILLARDS WORLDW,£714.00
27/02/12,INSIGHT DIRECT INT,£655.52
27/02/12,TUBEMOGULIN,£651.95
27/02/12,TUBEMOGULIN,£603.06
28/02/12,INSIGHT DIRECT INT,£552.00
28/02/12,INSIGHT DIRECT INT,£552.00
28/02/12,PENTAGON LEISURE S,£793.35
28/02/12,THE FINANCIAL TRAINING,£520.00
29/02/12,CIPD ENTERPRISES,£588.00
,,
All payments marked * are made via a virtual card to a supplier as part of a centrally let Government contract.,,
Further information on DFID's procurement card arrangements,,
,,
