Department Family,Entity,Date of Payment,GL Description,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Document number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,2100022042,Agency worker ,AL1 4JB,-520.81,
Communities & Local Government,PINS,01/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205599,Agency Costs ,AL1 4JB,427.78,
Communities & Local Government,PINS,01/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106205605,Agency worker,AL1 4JB,520.81,
Communities & Local Government,PINS,01/08/2014,Catering,Strategy & Communications,DCLG,,Public Bodies,,5106205668,Catering Costs,HP2 4XN,92.00,
Communities & Local Government,PINS,01/08/2014,Catering,Group Managers,DCLG,,Public Bodies,,5106205668,Catering Costs,HP2 4XN,"1,769.45",
Communities & Local Government,PINS,01/08/2014,Catering,Major Applications and Plans Director,DCLG,,Public Bodies,,5106205668,Catering Costs,HP2 4XN,5.95,
Communities & Local Government,PINS,01/08/2014,Catering,National Infrastructure Casework,DCLG,,Public Bodies,,5106205668,Catering Costs,HP2 4XN,4.90,
Communities & Local Government,PINS,01/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106205633,HP 950 Cart - Yellow,NG11 7EP,805.80,
Communities & Local Government,PINS,01/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106205636,HP 950 Cart - Magenta,NG11 7EP,805.80,
Communities & Local Government,PINS,04/08/2014,Accommodation Service Charges,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 accomodation service charge,HP2 4XN,"11,229.57",
Communities & Local Government,PINS,04/08/2014,Accommodation Service Charges,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 accomodation service charge,HP2 4XN,"11,229.57",
Communities & Local Government,PINS,04/08/2014,Electricity,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 electricity,HP2 4XN,"37,320.03",
Communities & Local Government,PINS,04/08/2014,Electricity,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 electricity,HP2 4XN,"37,320.03",
Communities & Local Government,PINS,04/08/2014,Electricity,Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH electricity reconciliation,HP2 4XN,"10,849.34",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 fixed FM costs,HP2 4XN,"124,167.20",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 fixed FM costs,HP2 4XN,"124,167.20",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH fixed FM reconciliation,HP2 4XN,"323,110.51",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH reprographics reconciliation,HP2 4XN,"21,463.18",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH specific charges reconciliat,HP2 4XN,"14,773.00",
Communities & Local Government,PINS,04/08/2014,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH variable FM reconciliation,HP2 4XN,"4,346.33",
Communities & Local Government,PINS,04/08/2014,Gas,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 gas,HP2 4XN,"4,917.00",
Communities & Local Government,PINS,04/08/2014,Gas,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 gas,HP2 4XN,"4,917.00",
Communities & Local Government,PINS,04/08/2014,Rates,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 rates,HP2 4XN,"167,084.58",
Communities & Local Government,PINS,04/08/2014,Rates,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 rates,HP2 4XN,"167,084.58",
Communities & Local Government,PINS,04/08/2014,Rent,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 lease,HP2 4XN,"465,799.70",
Communities & Local Government,PINS,04/08/2014,Rent,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 lease,HP2 4XN,"465,799.70",
Communities & Local Government,PINS,04/08/2014,Water,Estates,DCLG,,Public Bodies,,5106205696,TQH 2014/15 water and sewerage,HP2 4XN,"2,839.57",
Communities & Local Government,PINS,04/08/2014,Water,Estates,DCLG,,Public Bodies,,5106205698,TQH 2014/15 water and sewerage,HP2 4XN,"2,839.57",
Communities & Local Government,PINS,04/08/2014,Water,Estates,DCLG,,Public Bodies,,5106205701,2013-14 TQH gas reconciliation,HP2 4XN,"2,410.04",
Communities & Local Government,PINS,05/08/2014,IT - Software Maintenance,ICT Business Partner,PHOENIX SOFTWARE,,Medium,,5106205706,Sophos Endpoint Protection Advanced,YO42 1NS,"5,169.00",
Communities & Local Government,PINS,05/08/2014,Mobile phone costs,ICT Business Partner,ORANGE (AIRTIME/LINE RENTAL),,Large,,5106205716,Service & call charges - Orange mobiles,S98 1DX,448.49,
Communities & Local Government,PINS,05/08/2014,Publications,Library,EMAP LTD,,Small,,5106205713,Architects Journal,NN4 7XD,513.00,
Communities & Local Government,PINS,05/08/2014,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106205707,CGI 2014/15,CF31 9AP,"3,432.93",
Communities & Local Government,PINS,05/08/2014,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106205737,VEHICLE HIRE JULY 2014,TW20 8RX,"8,352.96",
Communities & Local Government,PINS,05/08/2014,Vehicle hire,Environment & Transport,ENTERPRISE RENT-A-CAR,,Large,,5106205737,VEHICLE HIRE JULY 2014,TW20 8RX,115.80,
Communities & Local Government,PINS,05/08/2014,Vehicle hire,National Infrastructure Casework,ENTERPRISE RENT-A-CAR,,Large,,5106205737,VEHICLE HIRE JULY 2014,TW20 8RX,706.06,
Communities & Local Government,PINS,05/08/2014,Vehicle hire,Operations,ENTERPRISE RENT-A-CAR,,Large,,5106205737,VEHICLE HIRE JULY 2014,TW20 8RX,91.90,
Communities & Local Government,PINS,05/08/2014,Vehicle hire,Wales Director,ENTERPRISE RENT-A-CAR,,Large,,5106205737,VEHICLE HIRE JULY 2014,TW20 8RX,847.13,
Communities & Local Government,PINS,06/08/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106205768,Statutory Advertising - NID,W1T 7RQ,"1,196.76",
Communities & Local Government,PINS,06/08/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106205771,Statutory Advertising - Common Land,W1T 7RQ,"2,023.40",
