Department Family,Entity,Period,Expense Type,Supplier Name,Transaction number, Amount 
Department of Health,Harrogate & Rural District CCG,November-2013,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310100435," 32,036.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,JENNYFIELD HEALTH CENTRE,N/A," 34,360.00 "
Department of Health,Harrogate & Rural District CCG,August-2013,Clinical&Medical-Independent Sector,BMI HEALTHCARE LTD,0000021136," 46,814.83 "
Department of Health,Harrogate & Rural District CCG,November-2013,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100046," 57,700.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,STLUKES MEDICAL PRACTICE,N/A," 57,856.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,DR AKESTER & PARTNERS,N/A," 62,370.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,PARK PARADE SURGERY,N/A," 64,904.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,STOCKWELL ROAD SURGERY,N/A," 67,204.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,SPRINGBANK SURGERY,N/A," 67,487.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810001841," 68,119.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Independent Sector,BMI HEALTHCARE LTD,20279," 69,243.76 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,DR FLETCHER & PARTNERS,N/A," 75,057.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,KINGSWOOD SURGERY,N/A," 87,068.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,EAST PARADE SURGERY,N/A," 92,257.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,RIPON SPA SURGERY,N/A," 92,836.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,BEECH HOUSE SURGERY,N/A," 112,305.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,THE SPA SURGERY,N/A," 115,409.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,CHURCH LANE SURGERY,N/A," 115,988.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310100449," 119,768.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,NIDDERDALE GROUP PRACTICE,N/A," 120,061.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,NORTH HOUSE SURGERY,N/A," 124,910.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,THE LEEDS ROAD PRACTICE,N/A," 140,902.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,DR DF BANNATYNE & PARTNERS,N/A," 154,321.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,EASTGATE MEDICAL GROUP,N/A," 158,356.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Voluntary Sector,ST MICHAELS HOSPICE,879," 166,919.45 "
Department of Health,Harrogate & Rural District CCG,November-2013,Clinical&Medical-Drugs,DR YOUNG & PARTNERS,N/A," 169,022.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310100463," 224,250.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hlthcre-Foundation Trsts,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,3510004726," 243,584.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hlthcre-Foundation Trsts,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010009557," 395,604.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hcare Srv Rec NHS Trust,LEEDS TEACHING HOSPITALS NHS TRUST,417971," 435,794.39 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810001883," 439,340.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810001330," 832,373.34 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H163651," 898,809.00 "
Department of Health,Harrogate & Rural District CCG,November-2013,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100049," 1,314,363.41 "
Department of Health,Harrogate & Rural District CCG,November-2013,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H163658," 6,227,814.00 "
