P/L Individual Transactions Over £25K,Inv Cert Date between 01/11/2011 and 30/11/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,ANS GROUP,0000991823,"138,999.94"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012123647,"102,348.15"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012119190,"96,466.41"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,OTHER INCOME,FACILITIES & ESTATES MGT,SWAN HOUSING ASSOCIATION,SWA-ER12-197,"45,513.91"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,CLINICAL SUPPLIES,PATHOLOGY,HOLOGIC UK LTD,86702,"52,800.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/11/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_182091_1,"36,823.67"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321424006,970.68
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321424006,"1,941.24"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321424006,323.52
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321424006,"41,911.20"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,GILEAD SCIENCES LTD,4410000391,"10,044.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/11/2011,ACCRUALS,CURRENT LIABILITIES,GILEAD SCIENCES LTD,4410000391,"22,568.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,07/11/2011,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,808069,"123,439.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,07/11/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_182806_1,"37,185.63"
