"Table 6  Total identifiable expenditure on services by country and region, 2008-09 to 2012-13",,,,,
,,,,,£ million
Cabinet Office,National Statistics,,,,
, 2008-09, 2009-10, 2010-11, 2011-12, 2012-13
North East,17,23,23,14,7
North West,47,64,62,38,18
Yorkshire and the Humber,35,48,46,29,14
East Midlands,30,41,40,25,12
West Midlands,37,50,49,30,15
East,39,53,51,32,16
London,53,73,71,45,23
South East,57,78,76,47,23
South West,35,48,46,29,14
Total England,350,477,465,289,142
Scotland,20,17,18,11,4
Wales,21,31,29,17,8
Northern Ireland,7,6,6,4,1
UK identifiable expenditure,397,530,518,321,155
Outside UK,-,-,-,-,-
Total identifiable expenditure,397,530,518,321,155
Non-identifiable expenditure,43,51,42,153,185
Total expenditure on services,440,581,561,474,340
,,,,,
,,,,,
