Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/11/2011,DRUGS,PHARMACY,AAH HOSPITAL SERVICE,ASC3971,"29,060.36",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/11/2011,DRUGS,PHARMACY,,,"5,812.07","34,872.43"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,ASC4017,"30,405.76",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"6,081.15","36,486.91"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,ASC4019,"24,676.43",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"4,935.28","29,611.71"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,ASC4043,"27,744.28",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"5,548.85","33,293.13"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,ASC4044,"22,396.18",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,,"4,479.23","26,875.41"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,ASC4053,"25,056.39",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,,"5,011.28","30,067.67"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,ABBOTT LABORATORIES LTD,4393058,"6,198.72",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"5,492.52",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.13",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.04",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,923.24",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,346.40",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,726.23",0
