Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,DRUGS,PHARMACY,AAH HOSPITAL SERVICE,ASC2937,"38,109.95",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,DRUGS,PHARMACY,,,"6,669.25","44,779.20 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,ASC2971,"35,498.87",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,,"6,212.31","41,711.18 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,ASC2973,"22,919.72",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,,"4,010.95","26,930.67 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,ASC2990,"22,202.51",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,,"3,885.44","26,087.95 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,ASC2992,"32,656.77",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/02/2011,DRUGS,PHARMACY,,,"6,531.36","39,188.13 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3016,"38,105.04",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"7,621.01","45,726.05 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3023,"31,378.26",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"6,275.66","37,653.92 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3024,"41,003.05",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"8,200.61","49,203.66 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3028,"26,253.20",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"5,250.64","31,503.84 "
