Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,"£3,600.06",
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,"£1,753.11",
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,£547.00,
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,"£2,108.51",
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,"£1,754.50",
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,£822.21,
DFID,DFID,01/02/2018,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-108 ,£551.70,
DFID,DFID,01/02/2018,Hotels - Accommodation only ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,"£1,351.15",
DFID,DFID,01/02/2018,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,£604.35,
DFID,DFID,01/02/2018,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-111 ,£535.41,
DFID,DFID,01/02/2018,Hotels - Accommodation only ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-133 ,£633.00,
DFID,DFID,01/02/2018,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-133 ,£555.30,
DFID,DFID,01/02/2018,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-102 ,£519.71,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£570.07,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£546.81,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£980.42,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£646.31,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£690.00,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100086-101 ,£562.41,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100086-101 ,£799.51,
DFID,DFID,01/02/2018,Office Supplies ,Group Operations ,Banner Office Supplies,100106-101 ,£719.58,
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100111-101 ,£712.90,
DFID,DFID,01/02/2018,Hotels - Accommodation only ,International Relations Division ,Corporate Travel Provider ,100111-101 ,£774.08,
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100111-101 ,£814.61,
DFID,DFID,01/02/2018,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£651.40,
DFID,DFID,01/02/2018,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£894.45,
DFID,DFID,01/02/2018,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£894.45,
DFID,DFID,01/02/2018,Hotels - Accommodation only ,Economic Development Division ,Corporate Travel Provider ,100124-101 ,£808.20,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100124-101 ,£651.41,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100124-101 ,£802.30,
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100138-101 ,"£1,768.11",
DFID,DFID,01/02/2018,Air fares ,Policy Division ,Corporate Travel Provider ,100191-101 ,£612.81,
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,£806.51,
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,"£1,037.00",
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,£806.51,
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,£694.91,
DFID,DFID,01/02/2018,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,£640.20,
DFID,DFID,01/02/2018,Subscriptions ,Communications Division ,Adobe,100197-101 ,£708.00,
DFID,DFID,01/02/2018,Subscriptions ,Communications Division ,Adobe,100197-101 ,£708.00,
DFID,DFID,01/02/2018,Conferences  Seminars & Meeting/Event Resource ,Finance and Corporate Performance Division ,The Studio Venue Company Limited ,100201-101 ,£578.00,
DFID,DFID,01/02/2018,Conferences  Seminars & Meeting/Event Resource ,Finance and Corporate Performance Division ,The Studio Venue Company Limited ,100201-101 ,"£1,000.00",
DFID,DFID,01/02/2018,Hotels - Accommodation only ,Finance and Corporate Performance Division ,Corporate Travel Provider ,100201-101 ,£509.00,
DFID,DFID,01/02/2018,Air fares ,Finance and Corporate Performance Division ,Corporate Travel Provider ,100201-101 ,£514.56,
DFID,DFID,01/02/2018,Air fares ,Finance and Corporate Performance Division ,Corporate Travel Provider ,100201-101 ,£636.91,
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100212-101 ,"£1,024.62",
DFID,DFID,01/02/2018,Hotels - Accommodation only ,East and Central Africa ,Corporate Travel Provider ,100212-101 ,£750.75,
DFID,DFID,01/02/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100227-101 ,£544.80,
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£3,461.20",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£1,714.20",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£1,754.40",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£2,108.51",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£1,754.40",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£2,108.51",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£2,306.41",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£1,802.90",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£2,306.41",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£1,802.90",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£3,276.11",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£2,463.51",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-105 ,"£2,875.11",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-108 ,"£5,429.71",
DFID,DFID,01/02/2018,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-108 ,"£5,429.71",
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100240-101 ,£664.99,
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100240-101 ,£768.36,
DFID,DFID,27/02/2018,Telephone Usage & services ,West and Southern Africa ,Foreign & Commonwealth Office ,100254-101 ,£966.89,
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100262-101 ,"£1,080.61",
DFID,DFID,01/02/2018,Air fares ,International Relations Division ,Corporate Travel Provider ,100262-101 ,"£1,080.61",
DFID,DFID,21/02/2018,Hotels - Accommodation only ,Group Operations ,Foreign & Commonwealth Office ,100270-103 ,"£2,658.65",
DFID,DFID,01/02/2018,Air fares ,Policy Division ,Corporate Travel Provider ,100274-111 ,"£3,232.91",
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100275-101 ,"£1,958.31",
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100275-101 ,£740.82,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100275-101 ,"£1,184.61",
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100275-101 ,"£1,044.00",
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100276-101 ,£591.16,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100276-101 ,£601.10,
DFID,DFID,01/02/2018,Hotels - Accommodation only ,Economic Development Division ,Corporate Travel Provider ,100276-101 ,£636.75,
DFID,DFID,01/02/2018,Air fares ,Economic Development Division ,Corporate Travel Provider ,100276-101 ,£747.66,
DFID,DFID,01/02/2018,Air fares ,Policy Division ,Corporate Travel Provider ,100277-101 ,£597.02,
DFID,DFID,01/02/2018,Air fares ,Middle East and North Africa Division ,Corporate Travel Provider ,100307-101 ,£611.00,
DFID,DFID,01/02/2018,Air fares ,Middle East and North Africa Division ,Corporate Travel Provider ,100307-101 ,£744.51,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,"£1,362.30",
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,"£2,224.20",
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,£610.46,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,£758.14,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,£795.62,
DFID,DFID,01/02/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101601-110 ,"£1,278.54",
