Body Name,Service Label,Expense Category,Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Transport Planning & Monitoring Services,01/10/2013,5100056359,25985,AECOM LTD
TfGM,Transport,Research Services,01/10/2013,5100056436,8415,AECOM LTD
TfGM,Transport,Capital Costs -  Project Management Services,01/10/2013,5100056450,2000,AJILON UK LIMITED T/A COMPUTER PEOP
TfGM,Corporate Services,Procurement Services,01/10/2013,5100056221,6976,ATKINS LTD
TfGM,Transport,Financial and Contract Management Services,01/10/2013,5100056900,8312.5,AUTUS LTD
TfGM,Transport,Capital Costs - Archaeological Services,01/10/2013,5100056663,1782,CFA ARCHAELOGY LTD
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029793,1024,COLIN REA
TfGM,Transport,Print & Media,01/10/2013,5100056324,2246,CREATIVE LYNX LTD
TfGM,Transport,Project Management Services,01/10/2013,5100056893,1250,E KELLY
TfGM,Transport,Telecommunications,01/10/2013,5100056452,2385,EASYNET GLOBAL SERVICES
TfGM,Transport,Capital Costs - Project Support Services,01/10/2013,5100055590,2637.5,EKOSGEN
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,01/10/2013,5100056389,494.99,ELECTRICITY NORTH WEST EHV
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029333,620,GMATL
TfGM,Corporate Services,Audit and Financial Services,01/10/2013,5100056473,14576.75,GRANT THORNTON
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029783,691,H SHAKERI T/A EUROLYNX TAXIS
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029784,1147,H SHAKERI T/A EUROLYNX TAXIS
TfGM,Corporate Services,Temporary Vacancy Cover,01/10/2013,1900029810,12966.21,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/10/2013,1900029811,5950.32,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/10/2013,5100056653,2647.05,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/10/2013,5100056655,2647.05,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Temporary Vacancy Cover,01/10/2013,5100056299,16480,JACOBS UK LTD
TfGM,Transport,Transport Planning & Monitoring Services,01/10/2013,5100056917,826,JMP LTD
TfGM,Corporate Services,Procurement Services,01/10/2013,5100056853,8400,JULIAN BENSON ASSOCIATES LTD
TfGM,Transport,Human Resource Services,01/10/2013,5100056383,1190,LANDOR LINKS LTD
TfGM,Transport,"Rent, Rates & Service Charges",01/10/2013,1900029734,718,MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",01/10/2013,1900029735,1013,MANCHESTER CITY COUNCIL
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029782,1326,METRO TAXIS LTD
TfGM,Transport,Capital Costs - Smart Ticketing,01/10/2013,5100056813,12000,MINT RECRUITMENT SOLUTIONS LTD
TfGM,Transport,Capital Costs - Project Support Services,01/10/2013,5100056891,2250,NEIL CLARKE LTD
TfGM,Transport,Heavy Rail Support Services,01/10/2013,5100056425,7231.25,OVE ARUP & PARTNERS INTERNATIONAL L
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029791,1235,PARKSHIELD LTD (ABACUS TRAVEL SRVS)
TfGM,Transport,Capital Costs - Safety & Security Support Services,01/10/2013,5100056424,3332.78,POLICE & CRIME COMMISSIONER GTR MCR
TfGM,Transport,Professional Services,01/10/2013,5100056807,5000,PORTOBELLO PARTNERSHIP LTD
TfGM,Transport,Smart Ticketing,01/10/2013,5100056301,2080,PRACTICUS LIMITED
TfGM,Transport,Capital Costs - Passenger Shelters,01/10/2013,5100056642,3632.08,QUEENSBURY SHELTERS LIMITED
TfGM,Transport,Capital Costs - Passenger Shelters,01/10/2013,5100056818,3632.08,QUEENSBURY SHELTERS LIMITED
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029776,900,RADIO CABS T/A ECO TRAVEL
TfGM,Transport,Concessionary Reimbursement,01/10/2013,1900029777,1600,RADIO CABS T/A ECO TRAVEL
TfGM,Transport,Capital Costs - Print & Media,01/10/2013,5100056800,490,RCD
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/10/2013,5100056443,1881,Robert Walters Plc
TfGM,Transport,Smart Ticketing,01/10/2013,5100056444,2400.1,Robert Walters Plc
TfGM,Transport,Smart Ticketing,01/10/2013,5100056445,2500,Robert Walters Plc
TfGM,Transport,Smart Ticketing,01/10/2013,5100056446,1920.08,Robert Walters Plc
TfGM,Transport,Smart Ticketing,01/10/2013,5100056447,2950,Robert Walters Plc
TfGM,Transport,"Rent, Rates & Service Charges",01/10/2013,1900029808,10055.12,SADDLEWORTH RANGERS
TfGM,Transport,Print & Media,01/10/2013,5100056849,3000,SALUTIONS LIMITED
TfGM,Transport,Capital Costs - Legal Services,01/10/2013,1900029809,21181.9,"SLEIGH, SON AND BOOTH"
TfGM,Transport,Planning Support Services,01/10/2013,5100056328,7298.1,STEER DAVIES GLEEVE LTD
TfGM,Transport,Capital Costs - Engineering Support Services,01/10/2013,5100056901,1125,STEPHEN J FIRTH
TfGM,Transport,"Rent, Rates & Service Charges",01/10/2013,1900029807,9900,STOCKPORT MBC
