CPS outcomes by principal offence category greater_manchester,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.0%,0,0.0%
B Offences Against The Person,630,76.8%,190,23.2%
C Sexual Offences,41,71.9%,16,28.1%
D Burglary,160,87.4%,23,12.6%
E Robbery,59,79.7%,15,20.3%
F Theft And Handling,735,93.4%,52,6.6%
G Fraud And Forgery,37,86.0%,6,14.0%
H Criminal Damage,191,83.0%,39,17.0%
I Drugs Offences,359,92.8%,28,7.2%
J Public Order Offences,424,90.6%,44,9.4%
K All Other Offences (excluding Motoring),137,81.5%,31,18.5%
L Motoring Offences,"1,354",92.0%,117,8.0%
Admin Finalisations,0,0.0%,40,100.0%
TOTAL,"4,130",87.3%,601,12.7%
