A3131 - Expenditure Over Threshold,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note : This Report has a prompt “Threshold Amount” which is mapped to AP Invoice Total Amount i.e. Invoice Header Amount (column Threshold Amount is not available in the report output). The AP Amount column on the report represents the invoice distribution amount (which is not Invoice header amount).,,,,,,,,,
Time run: 03/04/2018 14:59:51,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bury CCG,31/03/2018,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,PENNINE ACUTE HOSPITALS NHS TRUST,21114991,"136,065.00 ",654418333,A0004249
Department of Health,NHS Bury CCG,31/03/2018,Clinical&Medical-Independent Sector,OUT OF HOURS,BARDOC,21147752,"128,413.40 ",,7333
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,21163548,"766,201.33 ",654415538,6210117335
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST LANCASHIRE HOSPITALS NHS TRUST,21163561,"57,267.46 ",,E0089842
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,21163571,"104,826.08 ",,29362
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,21183470,"734,000.00 ",654418333,A0004248
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,21183480,"160,820.73 ",654415538,0000352219
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,21183494,"1,088,858.00 ",,S0013240
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,21183520,"84,056.00 ",GB654951509,55574896
Department of Health,NHS Bury CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,21183528,"821,426.58 ",,0001047232
Department of Health,NHS Bury CCG,31/03/2018,Clinical&Medical-Voluntary Sector,MENTAL HEALTH SERVICES - OTHER,EARLY BREAK LTD,21183558,"75,124.00 ",,INVEB1407
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,21217584,"26,439.03 ",,ROC000014699
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,21217584,162.95 ,,ROC000014699
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,21217584,"2,562.50 ",,ROC000014699
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,21217584,"3,017.60 ",,ROC000014699
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,21217586,"56,712.26 ",,ROC000014701
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,21217586,135.66 ,,ROC000014701
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,21217586,"2,914.83 ",,ROC000014701
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,21217586,"6,358.33 ",,ROC000014701
Department of Health,NHS Bury CCG,31/03/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,21217586,"6,677.29 ",,ROC000014701
Department of Health,NHS Bury CCG,31/03/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,21217588,"30,791.58 ",,ROC000014703
Department of Health,NHS Bury CCG,31/03/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,21217588,"2,207.80 ",,ROC000014703
Department of Health,NHS Bury CCG,31/03/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,21217588,"2,849.01 ",,ROC000014703
